source,target,edge,edge_type,value,color
adhd symptoms,adolescents and young adults with adhd,exists is same context,contextual proximity,5,#808080
adhd symptoms,affective reactivity,exists is same context,contextual proximity,5,#808080
adhd symptoms,age,exists is same context,contextual proximity,4,#808080
adhd symptoms,aggression,exists is same context,contextual proximity,3,#808080
adhd symptoms,alcohol,exists is same context,contextual proximity,3,#808080
adhd symptoms,alpha-2-adrenergic agonists,exists is same context,contextual proximity,16,#808080
adhd symptoms,amphetamine derivatives,exists is same context,contextual proximity,8,#808080
adhd symptoms,amphetamine,exists is same context,contextual proximity,4,#808080
adhd symptoms,anxiety,exists is same context,contextual proximity,6,#808080
adhd symptoms,atomoxetine,exists is same context,contextual proximity,11,#808080
adhd symptoms,autism,exists is same context,contextual proximity,3,#808080
adhd symptoms,becoming unnaturally quiet,exists is same context,contextual proximity,6,#808080
adhd symptoms,behavior therapy,"improve ADHD symptoms does not mean it is not useful for other purposes,exists is same context",relation,13,#22dd22
adhd symptoms,behavior therapy,"small to medium sized improvements in ADHD symptoms with behavioural therapies,exists is same context",relation,8,#22dd22
adhd symptoms,behavior therapy,exists is same context,contextual proximity,2,#808080
adhd symptoms,broad-spectrum micronutrient supplements,exists is same context,contextual proximity,3,#808080
adhd symptoms,bupropion,exists is same context,contextual proximity,10,#808080
adhd symptoms,cardiac events,exists is same context,contextual proximity,2,#808080
adhd symptoms,cbt,exists is same context,contextual proximity,4,#808080
adhd symptoms,cbt alone,exists is same context,contextual proximity,3,#808080
adhd symptoms,central nervous system injury,exists is same context,contextual proximity,2,#808080
adhd symptoms,adolescence,exists is same context,contextual proximity,2,#808080
adhd symptoms,child behavior checklist,exists is same context,contextual proximity,3,#808080
adhd symptoms,adolescence,exists is same context,contextual proximity,2,#808080
adhd symptoms,adolescence,exists is same context,contextual proximity,2,#808080
adhd symptoms,children and adolescents with adhd,exists is same context,contextual proximity,4,#808080
adhd symptoms,adhd children,exists is same context,contextual proximity,2,#808080
adhd symptoms,clinical prescriber with training in adhd diagnosis and management,exists is same context,contextual proximity,2,#808080
adhd symptoms,clinical subgroups,exists is same context,contextual proximity,4,#808080
adhd symptoms,clonidine,"A medication that may be prescribed to help with sleep issues associated with ADHD,exists is same context",relation,14,#22dd22
adhd symptoms,cocaine,exists is same context,contextual proximity,3,#808080
adhd symptoms,cognitive behavior therapy,exists is same context,contextual proximity,2,#808080
adhd symptoms,cognitive behavior therapy,exists is same context,contextual proximity,2,#808080
adhd symptoms,cognitive function,exists is same context,contextual proximity,7,#808080
adhd symptoms,combined treatment with medication and cbt,exists is same context,contextual proximity,3,#808080
adhd symptoms,comorbid psychiatric conditions,exists is same context,contextual proximity,2,#808080
adhd symptoms,computer-based cognitive training,exists is same context,contextual proximity,7,#808080
adhd symptoms,conduct problems,exists is same context,contextual proximity,4,#808080
adhd symptoms,cultural context,exists is same context,contextual proximity,2,#808080
adhd symptoms,culture,exists is same context,contextual proximity,2,#808080
adhd symptoms,depression,exists is same context,contextual proximity,12,#808080
adhd symptoms,dexmethylphenidate,exists is same context,contextual proximity,2,#808080
adhd symptoms,dextro amphetamine,exists is same context,contextual proximity,2,#808080
adhd symptoms,diagnoses,exists is same context,contextual proximity,2,#808080
adhd symptoms,dietary approach to stop hypertension,exists is same context,contextual proximity,3,#808080
adhd symptoms,dietary interventions,exists is same context,contextual proximity,2,#808080
adhd symptoms,dietary interventions for adhd,exists is same context,contextual proximity,3,#808080
adhd symptoms,digital interventions,exists is same context,contextual proximity,7,#808080
adhd symptoms,digital therapies,exists is same context,contextual proximity,7,#808080
adhd symptoms,direct skills training,exists is same context,contextual proximity,5,#808080
adhd symptoms,disruptive behavior disorders,exists is same context,contextual proximity,2,#808080
adhd symptoms,drug treatment initiation,exists is same context,contextual proximity,2,#808080
adhd symptoms,drug treatment resistant patients,exists is same context,contextual proximity,2,#808080
adhd symptoms,dementia,exists is same context,contextual proximity,2,#808080
adhd symptoms,anorexia,"Some studies have found that individuals who report NMU are more likely to have eating disorders,exists is same context",relation,10,#22dd22
adhd symptoms,education,exists is same context,contextual proximity,5,#808080
adhd symptoms,educational and occupational failure,"can lead to,exists is same context",relation,11,#22dd22
adhd symptoms,effect,exists is same context,contextual proximity,3,#808080
adhd symptoms,efficacy,exists is same context,contextual proximity,2,#808080
adhd symptoms,emotion dysregulation,"ADHD symptoms are related to emotional dysregulation as a component of the disorder,exists is same context",relation,12,#22dd22
adhd symptoms,emotional lability,exists is same context,contextual proximity,6,#808080
adhd symptoms,emotion regulation,exists is same context,contextual proximity,5,#808080
adhd symptoms,emotional symptoms,"are not solely attributable to,exists is same context",relation,17,#22dd22
adhd symptoms,evidence,exists is same context,contextual proximity,3,#808080
adhd symptoms,excessive substance use,exists is same context,contextual proximity,2,#808080
adhd symptoms,exclusion of food colour additives and preservatives,"have been reported to alleviate ADHD symptoms,exists is same context",relation,7,#22dd22
adhd symptoms,exercise,"associated with a moderate reduction,exists is same context",relation,7,#22dd22
adhd symptoms,expression of emotions,exists is same context,contextual proximity,5,#808080
adhd symptoms,extended-release preparations,exists is same context,contextual proximity,2,#808080
adhd symptoms,family life,exists is same context,contextual proximity,5,#808080
adhd symptoms,family or friends,exists is same context,contextual proximity,2,#808080
adhd symptoms,female,exists is same context,contextual proximity,2,#808080
adhd symptoms,financial,exists is same context,contextual proximity,5,#808080
adhd symptoms,functioning,"We work closely with the patient to establish what constitutes response (eg, reduction in attention deficit hyperactivity disorder [ADHD] symptoms and/or improved overall functioning).",relation,4,#22dd22
adhd symptoms,gamified treatment,exists is same context,contextual proximity,7,#808080
adhd symptoms,good sleep practice,exists is same context,contextual proximity,6,#808080
adhd symptoms,guanfacine,exists is same context,contextual proximity,4,#808080
adhd symptoms,hallucinogens,exists is same context,contextual proximity,3,#808080
adhd symptoms,headache,exists is same context,contextual proximity,6,#808080
adhd symptoms,health care provider,feigned in order to receive prescription,relation,4,#22dd22
adhd symptoms,healthy diets,exists is same context,contextual proximity,6,#808080
adhd symptoms,heroin,exists is same context,contextual proximity,3,#808080
adhd symptoms,homicidality,exists is same context,contextual proximity,2,#808080
adhd symptoms,imipramine,"A medication that may be prescribed to help with sleep issues associated with ADHD,exists is same context",relation,10,#22dd22
adhd symptoms,immediate-release stimulants,exists is same context,contextual proximity,2,#808080
adhd symptoms,impairment,fluctuate over time within individual patients,relation,4,#22dd22
adhd symptoms,improvements,exists is same context,contextual proximity,2,#808080
adhd symptoms,adhd,exists is same context,contextual proximity,4,#808080
adhd symptoms,high inattentive factor,exists is same context,contextual proximity,2,#808080
adhd symptoms,inhalants,exists is same context,contextual proximity,3,#808080
adhd symptoms,interventions,exists is same context,contextual proximity,6,#808080
adhd symptoms,irritability,exists is same context,contextual proximity,6,#808080
adhd symptoms,jornay,exists is same context,contextual proximity,2,#808080
adhd symptoms,learning disorder,exists is same context,contextual proximity,2,#808080
adhd symptoms,legal,exists is same context,contextual proximity,5,#808080
adhd symptoms,lisdexamfetamine,exists is same context,contextual proximity,4,#808080
adhd symptoms,male,exists is same context,contextual proximity,2,#808080
adhd symptoms,maois,exists is same context,contextual proximity,3,#808080
adhd symptoms,marijuana,exists is same context,contextual proximity,3,#808080
adhd symptoms,medical literature,exists is same context,contextual proximity,2,#808080
adhd symptoms,drug treatment,exists is same context,contextual proximity,6,#808080
adhd symptoms,medication alone,exists is same context,contextual proximity,3,#808080
adhd symptoms,medication or psychosocial interventions,exists is same context,contextual proximity,2,#808080
adhd symptoms,medication therapy,"Medications are suggested as the first line agent for ADHD treatment, and monitoring is necessary to achieve target goals.,exists is same context",relation,8,#22dd22
adhd symptoms,drug treatment,exists is same context,contextual proximity,7,#808080
adhd symptoms,mediterranean diet,exists is same context,contextual proximity,3,#808080
adhd symptoms,melatonin,"A medication that may be prescribed to help with sleep issues associated with ADHD,exists is same context",relation,10,#22dd22
adhd symptoms,meta-analyses,"found no significant reduction in,exists is same context",relation,7,#22dd22
adhd symptoms,dexmethylphenidate,exists is same context,contextual proximity,11,#808080
adhd symptoms,mirtazapine (remeron),"A medication that may be prescribed to help with sleep issues associated with ADHD,exists is same context",relation,10,#22dd22
adhd symptoms,mixed amphetamine salts,exists is same context,contextual proximity,2,#808080
adhd symptoms,mood disorder,exists is same context,contextual proximity,2,#808080
adhd symptoms,mph,exists is same context,contextual proximity,6,#808080
adhd symptoms,negative mood symptoms,exists is same context,contextual proximity,3,#808080
adhd symptoms,negative parenting,exists is same context,contextual proximity,2,#808080
adhd symptoms,nmu,exists is same context,contextual proximity,6,#808080
adhd symptoms,nmu (non-medical use),"Individuals who report NMU have higher levels of ADHD symptoms,exists is same context",relation,37,#22dd22
adhd symptoms,non-stimulants,exists is same context,contextual proximity,3,#808080
adhd symptoms,nutrition,exists is same context,contextual proximity,3,#808080
adhd symptoms,obesity,exists is same context,contextual proximity,2,#808080
adhd symptoms,adult,exists is same context,contextual proximity,2,#808080
adhd symptoms,omega-3 fatty acid supplementation,"associated with small-to-medium improvements,exists is same context",relation,7,#22dd22
adhd symptoms,omega-3 fatty acid supplementation,exists is same context,contextual proximity,12,#808080
adhd symptoms,pain relievers,exists is same context,contextual proximity,3,#808080
adhd symptoms,parent behavior management program,exists is same context,contextual proximity,3,#808080
adhd symptoms,parent training,exists is same context,contextual proximity,9,#808080
adhd symptoms,parent-rated emotional lability symptoms,exists is same context,contextual proximity,3,#808080
adhd symptoms,parent-rated oppositional symptoms,exists is same context,contextual proximity,3,#808080
adhd symptoms,parent,exists is same context,contextual proximity,2,#808080
adhd symptoms,participants and their significant others,exists is same context,contextual proximity,3,#808080
adhd symptoms,peer conflicts,"can lead to,exists is same context",relation,11,#22dd22
adhd symptoms,exercise,exists is same context,contextual proximity,3,#808080
adhd symptoms,placebo,exists is same context,contextual proximity,2,#808080
adhd symptoms,poor dental hygiene,exists is same context,contextual proximity,2,#808080
adhd symptoms,predicting emotional symptoms,exists is same context,contextual proximity,5,#808080
adhd symptoms,pregnancies,exists is same context,contextual proximity,2,#808080
adhd symptoms,adolescence,exists is same context,contextual proximity,8,#808080
adhd symptoms,preschool or daycare,exists is same context,contextual proximity,2,#808080
adhd symptoms,misuse of prescription drugs,exists is same context,contextual proximity,5,#808080
adhd symptoms,prescription stimulant,exists is same context,contextual proximity,2,#808080
adhd symptoms,prognosis,exists is same context,contextual proximity,2,#808080
adhd symptoms,psychosocial interventions,exists is same context,contextual proximity,5,#808080
adhd symptoms,psychotherapy,exists is same context,contextual proximity,2,#808080
adhd symptoms,ptbm (behavior therapy),exists is same context,contextual proximity,2,#808080
adhd symptoms,quality of life,exists is same context,contextual proximity,7,#808080
adhd symptoms,remission,is a prerequisite for,relation,4,#22dd22
adhd symptoms,remission of aggressive behavior,exists is same context,contextual proximity,3,#808080
adhd symptoms,restricting synthetic food colors,"associated with a small reduction,exists is same context",relation,7,#22dd22
adhd symptoms,school-based interventions,exists is same context,contextual proximity,2,#808080
adhd symptoms,serotonin syndrome,exists is same context,contextual proximity,5,#808080
adhd symptoms,sex differences,No significant sex differences are found in total ADHD symptoms,relation,4,#22dd22
adhd symptoms,adverse effects,exists is same context,contextual proximity,13,#808080
adhd symptoms,sleep issues,exists is same context,contextual proximity,6,#808080
adhd symptoms,sleep issues,exists is same context,contextual proximity,7,#808080
adhd symptoms,social anxiety disorder,exists is same context,contextual proximity,5,#808080
adhd symptoms,social exclusion,"can lead to,exists is same context",relation,11,#22dd22
adhd symptoms,social relations,exists is same context,contextual proximity,5,#808080
adhd symptoms,solriamfetol,exists is same context,contextual proximity,2,#808080
adhd symptoms,selective serotonin reuptake inhibitor (ssri),exists is same context,contextual proximity,5,#808080
adhd symptoms,ssri and stimulant combination,exists is same context,contextual proximity,5,#808080
adhd symptoms,ssri antidepressants,exists is same context,contextual proximity,4,#808080
adhd symptoms,stimulant,exists is same context,contextual proximity,9,#808080
adhd symptoms,stimulant medication,exists is same context,contextual proximity,7,#808080
adhd symptoms,stimulant medication,exists is same context,contextual proximity,12,#808080
adhd symptoms,nmu of stimulants,exists is same context,contextual proximity,4,#808080
adhd symptoms,stimulant therapy,exists is same context,contextual proximity,3,#808080
adhd symptoms,stimulant-refractory adhd,exists is same context,contextual proximity,6,#808080
adhd symptoms,stimulants,exists is same context,contextual proximity,9,#808080
adhd symptoms,abdominal pain,exists is same context,contextual proximity,6,#808080
adhd symptoms,stressful environment,exists is same context,contextual proximity,2,#808080
adhd symptoms,studies,exists is same context,contextual proximity,5,#808080
adhd symptoms,substance abuse,"NMU has also been associated with use of other substances and substance-use disorders,exists is same context",relation,10,#22dd22
adhd symptoms,attempted suicide,exists is same context,contextual proximity,2,#808080
adhd symptoms,symptoms,exists is same context,contextual proximity,4,#808080
adhd symptoms,emotional dysregulation symptoms,exists is same context,contextual proximity,4,#808080
adhd symptoms,tca,exists is same context,contextual proximity,5,#808080
adhd symptoms,tdcs,exists is same context,contextual proximity,2,#808080
adhd symptoms,teacher-rated emotional lability symptoms,exists is same context,contextual proximity,3,#808080
adhd symptoms,teacher-rated oppositional symptoms,exists is same context,contextual proximity,3,#808080
adhd symptoms,tranquilizers/sedatives,exists is same context,contextual proximity,3,#808080
adhd symptoms,drug treatment,exists is same context,contextual proximity,2,#808080
adhd symptoms,treatment effects,Effects of a treatment for ADHD symptoms,relation,4,#22dd22
adhd symptoms,treatment of coexisting conditions,exists is same context,contextual proximity,2,#808080
adhd symptoms,treatment plan,exists is same context,contextual proximity,2,#808080
adhd symptoms,treatment selection,exists is same context,contextual proximity,2,#808080
adhd symptoms,treatment success,exists is same context,contextual proximity,2,#808080
adhd symptoms,venlafaxine,exists is same context,contextual proximity,4,#808080
adhd symptoms,video game-like intervention,exists is same context,contextual proximity,7,#808080
adhd symptoms,viloxazine,"relief from,exists is same context",relation,17,#22dd22
adhd symptoms,weight loss,exists is same context,contextual proximity,2,#808080
adhd symptoms,working memory training,exists is same context,contextual proximity,2,#808080
adhd symptoms,youth adhd symptoms,exists is same context,contextual proximity,2,#808080
adhd symptoms,omega-3 fatty acid supplementation,"have been reported to alleviate ADHD symptoms,exists is same context",relation,13,#22dd22
"adhd symptoms (e.g., aggression, hyperactivity)",adhd,exists is same context,contextual proximity,3,#808080
"adhd symptoms (e.g., aggression, hyperactivity)",behavioral intervention,exists is same context,contextual proximity,4,#808080
"adhd symptoms (e.g., aggression, hyperactivity)",parent-child behavior therapy,exists is same context,contextual proximity,2,#808080
"adhd symptoms (e.g., aggression, hyperactivity)",pharmacotherapy,exists is same context,contextual proximity,3,#808080
adhd impairments,adhd,exists is same context,contextual proximity,2,#808080
adhd impairments,adolescence,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,"acupuncture, yoga, and ayurvedic therapies","And more data are needed to improve existing non-medication treatments and to test the efficacy of traditional therapies such as acupuncture,exists is same context",relation,6,#22dd22
adhd symptoms or associated impairments,adhd,exists is same context,contextual proximity,4,#808080
adhd symptoms or associated impairments,adhd medication,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,adverse outcomes later in life,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,duration of treatment,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,healthcare systems,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,new medications currently in development,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,outcomes over longer periods of time,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,socially and clinically important outcomes,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,somatic disorders that co-occur with adhd,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,adhd stigma,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,adhd medication,exists is same context,contextual proximity,2,#808080
adhd symptoms or associated impairments,trigeminal nerve stimulation,"such as trigeminal nerve stimulation (McGough et al., 2019) and game-based treatments,exists is same context",relation,6,#22dd22
adhd symptoms/b ehaviors,adhd,exists is same context,contextual proximity,4,#808080
adhd symptoms/b ehaviors,adhd clinical diagnoses,exists is same context,contextual proximity,4,#808080
adhd symptoms/b ehaviors,developmental history,exists is same context,contextual proximity,2,#808080
adhd symptoms/b ehaviors,dsm-5 symptom criteria,exists is same context,contextual proximity,2,#808080
adhd symptoms/b ehaviors,impairment,exists is same context,contextual proximity,2,#808080
adhd symptoms/b ehaviors,maternal alcohol use during pregnancy,"Maternal alcohol use during pregnancy should be included in an evaluation for ADHD,exists is same context",relation,6,#22dd22
adhd symptoms/b ehaviors,drug treatment,exists is same context,contextual proximity,2,#808080
adhd symptoms/b ehaviors,comorbid psychiatric conditions,"Presence of psychiatric comorbidity, level of impairment,exists is same context",relation,6,#22dd22
adhd traits,adhd,exists is same context,contextual proximity,12,#808080
adhd traits,adolescence,exists is same context,contextual proximity,4,#808080
adhd traits,adult,exists is same context,contextual proximity,4,#808080
adhd traits,basal ganglia,exists is same context,contextual proximity,4,#808080
adhd traits,adolescence,exists is same context,contextual proximity,4,#808080
adhd traits,cingulate region,exists is same context,contextual proximity,4,#808080
adhd traits,cortical surface area,exists is same context,contextual proximity,4,#808080
adhd traits,emotion processing,exists is same context,contextual proximity,8,#808080
adhd traits,executive function,exists is same context,contextual proximity,16,#808080
adhd traits,frontal region,exists is same context,contextual proximity,4,#808080
adhd traits,fusiform gyrus,exists is same context,contextual proximity,4,#808080
adhd traits,limbic volume,exists is same context,contextual proximity,4,#808080
adhd traits,parietal region,exists is same context,contextual proximity,4,#808080
adhd traits,posterior corpus callosum,exists is same context,contextual proximity,4,#808080
adhd traits,sagitatal striatum,exists is same context,contextual proximity,4,#808080
adhd traits,temporal pole,exists is same context,contextual proximity,4,#808080
adhd traits,temporal region,exists is same context,contextual proximity,4,#808080
adhd traits,temporo-parieto-occipital regions,exists is same context,contextual proximity,4,#808080
adhd traits,ventromedial orbito-frontal cortical thickness,exists is same context,contextual proximity,4,#808080
adhd traits,visual attention,exists is same context,contextual proximity,12,#808080
adhd trea tment,adhd medication,exists is same context,contextual proximity,3,#808080
adhd trea tment,adhd patients,exists is same context,contextual proximity,4,#808080
adhd medication,active substance use disorder (sud),exists is same context,contextual proximity,2,#808080
adhd medication,acute co-administration of alcohol and stimulants,exists is same context,contextual proximity,2,#808080
adhd medication,adhd,exists is same context,contextual proximity,20,#808080
adhd medication,adhd guidelines,exists is same context,contextual proximity,2,#808080
adhd medication,adhd medication,exists is same context,contextual proximity,8,#808080
adhd medication,adhd patients,exists is same context,contextual proximity,2,#808080
adhd medication,adhd symptoms,exists is same context,contextual proximity,3,#808080
adhd medication,adhd trea tment,exists is same context,contextual proximity,3,#808080
adhd medication,administration of stimulants in conjunction with alcohol use,exists is same context,contextual proximity,2,#808080
adhd medication,adolescents and young adults with adhd,exists is same context,contextual proximity,2,#808080
adhd medication,atomoxetine,exists is same context,contextual proximity,5,#808080
adhd medication,atomoxetine dosing,exists is same context,contextual proximity,2,#808080
adhd medication,blood pressure,exists is same context,contextual proximity,2,#808080
adhd medication,cardiotoxicity,exists is same context,contextual proximity,2,#808080
adhd medication,adolescence,exists is same context,contextual proximity,2,#808080
adhd medication,comorbid condition,exists is same context,contextual proximity,2,#808080
adhd medication,disability service options,"The ADHD treatment includes service for disability options,exists is same context",relation,7,#22dd22
adhd medication,drug treatment,exists is same context,contextual proximity,2,#808080
adhd medication,dysphoria,exists is same context,contextual proximity,2,#808080
adhd medication,ecg,exists is same context,contextual proximity,2,#808080
adhd medication,education planning,is well-studied and effective in treating ADHD,relation,4,#22dd22
adhd medication,adhd in females,exists is same context,contextual proximity,2,#808080
adhd medication,headache,exists is same context,contextual proximity,2,#808080
adhd medication,health consequences,exists is same context,contextual proximity,2,#808080
adhd medication,heart rate,exists is same context,contextual proximity,2,#808080
adhd medication,hyperactivity,exists is same context,contextual proximity,2,#808080
adhd medication,high blood pressure,exists is same context,contextual proximity,4,#808080
adhd medication,hypotension,exists is same context,contextual proximity,2,#808080
adhd medication,insomnia,exists is same context,contextual proximity,2,#808080
adhd medication,irritability,exists is same context,contextual proximity,2,#808080
adhd medication,lower all-cause mortality,"Associated with lower all-cause mortality at two-year follow-up,exists is same context",relation,6,#22dd22
adhd medication,males with adhd,exists is same context,contextual proximity,2,#808080
adhd medication,drug treatment,exists is same context,contextual proximity,6,#808080
adhd medication,patients medicated for adhd,exists is same context,contextual proximity,3,#808080
adhd medication,adhd patients,exists is same context,contextual proximity,12,#808080
adhd medication,plasma levels,exists is same context,contextual proximity,2,#808080
adhd medication,polysubstance use,exists is same context,contextual proximity,2,#808080
adhd medication,potential risks,exists is same context,contextual proximity,2,#808080
adhd medication,qtc prolongation,exists is same context,contextual proximity,2,#808080
adhd medication,risk of a motor vehicle collision,exists is same context,contextual proximity,6,#808080
adhd medication,short-term effects,exists is same context,contextual proximity,2,#808080
adhd medication,sleep issues,exists is same context,contextual proximity,2,#808080
adhd medication,sleep onset,exists is same context,contextual proximity,2,#808080
adhd medication,sleep issues,exists is same context,contextual proximity,2,#808080
adhd medication,stimulant use,exists is same context,contextual proximity,5,#808080
adhd medication,stimulants,exists is same context,contextual proximity,8,#808080
adhd medication,symptom change,"The ADHD treatment is used to assess condition of symptom change,exists is same context",relation,7,#22dd22
adhd medication,tachycardia,exists is same context,contextual proximity,2,#808080
adhd medication,tca treatment,exists is same context,contextual proximity,2,#808080
adhd medication,tcas,exists is same context,contextual proximity,12,#808080
adhd medication,duration of treatment,exists is same context,contextual proximity,2,#808080
adhd medication,treatment of coexisting conditions,exists is same context,contextual proximity,2,#808080
adhd medication,unnatural causes of mortality,"Associated with lower unnatural cause of mortality,exists is same context",relation,6,#22dd22
adhd treatment effectiveness,adhd,exists is same context,contextual proximity,5,#808080
adhd treatment first line,mph,exists is same context,contextual proximity,4,#808080
adhd treatment first line,stimulants,exists is same context,contextual proximity,3,#808080
adhd outcomes,adhd,exists is same context,contextual proximity,5,#808080
adhd outcomes,adhd criteria,exists is same context,contextual proximity,2,#808080
adhd outcomes,desr (deficits in emotional self-regulation),exists is same context,contextual proximity,2,#808080
adhd outcomes,ei (emotional intelligence),exists is same context,contextual proximity,2,#808080
adhd outcomes,emotion dysregulation,exists is same context,contextual proximity,3,#808080
adhd outcomes,emotional symptoms,exists is same context,contextual proximity,2,#808080
adhd outcomes,executive dysfunction,exists is same context,contextual proximity,2,#808080
adhd outcomes,impulsive cognition,exists is same context,contextual proximity,2,#808080
adhd outcomes,learning problems,exists is same context,contextual proximity,2,#808080
adhd outcomes,poorly regulated emotions,exists is same context,contextual proximity,2,#808080
adhd treatment plan,adherence to the treatment plan,should be monitored regularly,relation,4,#22dd22
adhd treatment plan,medication therapy,"Children being treated for ADHD should be monitored regularly for adherence to the treatment plan.,exists is same context",relation,8,#22dd22
adhd treatment plan,psychosocial interventions,exists is same context,contextual proximity,3,#808080
adhd treatment response,adhd,exists is same context,contextual proximity,5,#808080
adhd medication,adhd,exists is same context,contextual proximity,2,#808080
adhd medication,motor vehicle collision,"lowers the risk of collisions,exists is same context",relation,6,#22dd22
adhd medication,stimulant medication,exists is same context,contextual proximity,4,#808080
adhd medication,2000 people,exists is same context,contextual proximity,5,#808080
adhd medication,adhd,exists is same context,contextual proximity,9,#808080
adhd medication,adhd symptoms,exists is same context,contextual proximity,6,#808080
adhd medication,adhd symptoms or associated impairments,exists is same context,contextual proximity,2,#808080
adhd medication,behaviors that we now associate with adhd,exists is same context,contextual proximity,5,#808080
adhd medication,cam therapies,evidence-based and delayed due to exploration of CAM therapies,relation,4,#22dd22
adhd medication,chelation therapy,exists is same context,contextual proximity,2,#808080
adhd medication,consensus statement,exists is same context,contextual proximity,5,#808080
adhd medication,emotional symptoms,exists is same context,contextual proximity,3,#808080
adhd medication,large effect,"clearly important and makes a big difference,exists is same context",relation,9,#22dd22
adhd medication,medical literature,exists is same context,contextual proximity,10,#808080
adhd medication,medium effect,"noticeable to someone paying close attention,exists is same context",relation,9,#22dd22
adhd medication,megavitamins,exists is same context,contextual proximity,2,#808080
adhd medication,new medications currently in development,the future of treatment for ADHD will include new medications currently in development,relation,4,#22dd22
adhd medication,reviews,exists is same context,contextual proximity,5,#808080
adhd medication,small effect,"hard to notice in one person but important if it affects many people,exists is same context",relation,9,#22dd22
adhd medication,smaller studies,exists is same context,contextual proximity,5,#808080
adhd medication,adhd stigma,exists is same context,contextual proximity,5,#808080
adhd medication,strong effects,exists is same context,contextual proximity,5,#808080
adhd medication,studies,exists is same context,contextual proximity,15,#808080
adhd medication,supplements,exists is same context,contextual proximity,2,#808080
adhd medication,treatment studies,exists is same context,contextual proximity,5,#808080
adhd medication,vitamins,exists is same context,contextual proximity,2,#808080
adhd types,symptoms,exists is same context,contextual proximity,2,#808080
adhd-associated iq deficits,adhd,exists is same context,contextual proximity,2,#808080
adhd-associated iq deficits,adhd research,exists is same context,contextual proximity,2,#808080
adhd-associated iq deficits,brains of people with adhd,exists is same context,contextual proximity,2,#808080
adhd-associated iq deficits,differences between groups of people who are and are not diagnosed with adhd,exists is same context,contextual proximity,2,#808080
adhd-associated iq deficits,iq,"Another meta-analysis, spanning 21 studies with over 1,900 adults, concluded that ADHD-associated IQ deficits were small and not clinically meaningful.",relation,4,#22dd22
adhd-c,adhd,exists is same context,contextual proximity,6,#808080
adhd-c,injuries,exists is same context,contextual proximity,2,#808080
adhd-c,mortality,exists is same context,contextual proximity,2,#808080
adhd-c,self-injury,"Self-injury was also more common among females with ADHD-C than females with ADHD-I or controls.,exists is same context",relation,6,#22dd22
adhd-c,attempted suicide,"Those with ADHD-C were more likely to have attempted suicide during the 10-year follow-up.,exists is same context",relation,6,#22dd22
adhd-c,unintended injuries,exists is same context,contextual proximity,2,#808080
adhd-like behaviors and their associated impairments,adhd,exists is same context,contextual proximity,5,#808080
adhd-like symptoms,adhd,exists is same context,contextual proximity,18,#808080
adhd-like symptoms,adhd symptoms,exists is same context,contextual proximity,3,#808080
adhd-like symptoms,black individuals,exists is same context,contextual proximity,3,#808080
adhd-like symptoms,diagnoses,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,doctor,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,environmental factors,exists is same context,contextual proximity,4,#808080
adhd-like symptoms,environmental risks,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,extreme deprivation early in life,"can be caused by extreme deprivation early in life,exists is same context",relation,7,#22dd22
adhd-like symptoms,genetic and environmental risk factors,exists is same context,contextual proximity,3,#808080
adhd-like symptoms,genetic factors,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,genetic influence,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,genetic variants,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,genetics,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,healthcare systems,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,meta-analyses,exists is same context,contextual proximity,6,#808080
adhd-like symptoms,neglect,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,person,exists is same context,contextual proximity,3,#808080
adhd-like symptoms,prevalence,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,adult,exists is same context,contextual proximity,3,#808080
adhd-like symptoms,single genetic abnormality,"can be caused by a single genetic abnormality,exists is same context",relation,7,#22dd22
adhd-like symptoms,studies,exists is same context,contextual proximity,6,#808080
adhd-like symptoms,traumatic brain injury early in life,"can be caused by traumatic brain injury early in life,exists is same context",relation,7,#22dd22
adhd-like symptoms,twins,exists is same context,contextual proximity,2,#808080
adhd-like symptoms,us population,exists is same context,contextual proximity,3,#808080
adhd-like symptoms in children,augusto vidal perera,exists is same context,contextual proximity,2,#808080
adhd-like symptoms in children,franz kramer and hans pollnow,exists is same context,contextual proximity,2,#808080
adhd-related brain structural differences,adhd,exists is same context,contextual proximity,3,#808080
adhd-related brain structural differences,stimulants,exists is same context,contextual proximity,3,#808080
