id,type,type_id
executive control and corticocerebellar networks,concept,7
executive dysfunction,concept,7
executive function,concept,7
executive function control,concept,7
executive function control of emotional response,condition,3
executive functioning,concept,7
exercise,concept,7
existing guidelines,documents,1
existing guidelines for adult adhd,concept,7
expert clinicians,person,6
expert opinion,concept,7
explosive giggle,condition,3
exposure to certain chemicals,condition,3
exposure to secondhand smoke,condition,3
exposures,condition,3
exposure‐response trend,condition,3
expression and emotion scale for children (eesc),documents,1
expression of emotions,entity,4
extended release guanfacine,entity,4
extended time,documents,1
extended-release,concept,7
extended-release form,documents,1
extended-release methylphenidate,service,2
extended-release preparations,documents,1
extended-release tablets,documents,1
external treatment resources,concept,7
externalizing behavior problems,condition,3
extreme deprivation early in life,other,0
extreme emotional and nutritional deprivation,other,0
f da definitions of abuse and misuse,concept,7
factors leading to favorable outcomes,condition,3
fails to give close attention,condition,3
faking adhd,service,2
false positive diagnoses,condition,3
familial co-aggregation,concept,7
familial or genetic factors,entity,4
familial risk factors,condition,3
families,organization,8
families with adhd,person,6
family,organization,8
family conflict,documents,1
family function,documents,1
family history,entity,4
family history of adhd,documents,1
family history of mental health issues,other,0
family life,entity,4
family or friends,organization,8
family problems,documents,1
family strain index,documents,1
"father, brother or sister",person,6
fatigue,condition,3
fatty acid concentrations,concept,7
fda approval,concept,7
fda approved medication,documents,1
fda-approved treatment for adhd,entity,4
fear of exposing nmu or minor unwanted effects,condition,3
federation of adhd,organization,8
feeling sad,condition,3
feigned,condition,3
felony,documents,1
female,person,6
females with adhd -i or controls,entity,4
ferritin,concept,7
fetal growth restriction,concept,7
fidgeting,concept,7
fidgets with hands or feet,condition,3
financial,entity,4
financial problems,concept,7
financial stability,documents,1
"finding activities in which the child can be successful (eg, hobbies, sports)",concept,7
findings,documents,1
findings of interest,concept,7
findings outside of normal limits,entity,4
finnish national registers,organization,8
first drug treatment try,service,2
flisher,person,6
fluctuating periods of remission and recurrence,concept,7
fmri meta-analyses,entity,4
fmri neurofeedback,concept,7
fmri studies of cognitive control,documents,1
focalin xr,concept,7
focused attention,concept,7
follow-up,concept,7
follow-up rating scales completed by parent or teacher soon after medication initiation,documents,1
follow-up visit,concept,7
food,documents,1
food supplements,documents,1
form,concept,7
form and doses,concept,7
foster care,location,10
foxp1,entity,4
foxp1 and foxp2,concept,7
foxp2,concept,7
franz kramer and hans pollnow,organization,8
fraternities or sororities,organization,8
free fatty acids,concept,7
free tools,documents,1
friendships,service,2
frontal and parietal cortical areas,other,0
frontal lobes,location,10
frontal region,location,10
frozen yogurt,documents,1
frustration discomfort,concept,7
"frustration discomfort (harrington, 2005) scale",documents,1
frustration discomfort scale,documents,1
full response,concept,7
functional impairment,concept,7
functional impairment related to adhd,concept,7
functional impairment scale for adults,documents,1
functional outcomes,concept,7
functioning,concept,7
funding for manuscript development,concept,7
further reduce qol,documents,1
fusiform gyrus,location,10
future development of adhd criteria,other,0
"future efforts should include other relevant stakeholders, including patients and health care systems, who may be more likely to emphasize the care coordination and the patient experience domains",other,0
future initiatives,concept,7
future patient outcomes,concept,7
gamified treatment,concept,7
gastric/duodenal ulcers and gastroesophageal reflux disease,condition,3
gastrointestinal issues,concept,7
gateway to non-oral use of illicit drugs,concept,7
gender,person,6
gene function descriptions,documents,1
general behavior,concept,7
general illicit drug use,concept,7
general population,location,10
general psychopathology and several psychiatric disorders,other,0
general qol measures for adults,concept,7
generalized emotional under-control,concept,7
generic medication,entity,4
generic medication preparations,entity,4
genes and environment,entity,4
genes and their interaction with the environment,concept,7
genetic and environmental risk factors,concept,7
genetic architecture of adhd,concept,7
genetic basis,documents,1
genetic causes of adhd,concept,7
genetic correlation,concept,7
genetic factors,concept,7
genetic influence,concept,7
genetic liability,concept,7
genetic or familial causes,condition,3
genetic risk,condition,3
genetic risk variants,concept,7
genetic variants,concept,7
genetic variation,concept,7
genetics,concept,7
genome-wide association study (gwas),service,2
genomewide study,entity,4
genomic loci,concept,7
genu ine,concept,7
geographic region,location,10
george still,person,6
german health insurance records,documents,1
girls,other,0
girls with adhd,person,6
give medication with food to minimize stomach discomfort,other,0
glaucoma,condition,3
glutamatergic neurotransmission,service,2
goals,concept,7
gonzalo rodriguez-lafora,person,6
good sleep habits,concept,7
good sleep practice,concept,7
governmental regulatory agencies,organization,8
gpas,documents,1
gpas <3.5,condition,3
grade level,date,5
grade point average (gpa),date,5
grade point averages,concept,7
grade point sum,date,5
gradually increase dose,service,2
graduation from high school on time,concept,7
graham et al.,other,0
greater family cohesion,condition,3
group of experts,person,6
growth issues,concept,7
growth monitoring,concept,7
growth suppression,condition,3
guanfacine,service,2
guanfacine er,concept,7
guanfacine treatment for adhd,service,2
gudjonsson et al.,concept,7
guided walks,service,2
guideline recommendations,concept,7
guidelines,documents,1
gwas,service,2
hallucinogens,other,0
having assignments written on the board,concept,7
having extended time to complete tasks,concept,7
hba1c,concept,7
headache,condition,3
health care facilities,location,10
health care professionals,organization,8
health care provider,organization,8
health consequences,concept,7
health effects,concept,7
health professionals and researchers,other,0
"health professionals, patients and families",other,0
health-care disparities,condition,3
healthcare delivery,concept,7
healthcare facility utilization,documents,1
healthcare processes,concept,7
healthcare systems,organization,8
healthy diets,concept,7
heart attack or stroke,condition,3
heart failure,condition,3
heart rate,concept,7
heart rate assessment,concept,7
heart rate monitoring,service,2
heart symptoms,condition,3
height,entity,4
height gains,concept,7
heinrich hoffmann,person,6
helping the noncompliant child,concept,7
hepatitis,condition,3
heroin,other,0
heterogeneity,concept,7
heterogeneity of adhd,concept,7
heterotropia,condition,3
high blood pressure,condition,3
high blood pressure during pregnancy,other,0
high ei,other,0
high emotional impulsivity,condition,3
high emotional thresholds,concept,7
high inattentive factor,concept,7
high intelligence,condition,3
high iqs,concept,7
high lead levels,condition,3
high polygenic risk for adhd,condition,3
high risk for nmu,condition,3
high risk of substance abuse,condition,3
high risk patients,entity,4
high school and collegiate athletes,person,6
high ses,other,0
high-calorie foods,documents,1
high-quality studies,documents,1
high-risk populations,condition,3
higher adhd symptom severity and poorer outcomes,documents,1
hippocampus,location,10
hippocampus volume,documents,1
history and physical examination,documents,1
history of amphetamine induced psychosis,entity,4
history of illicit stimulant use,condition,3
history of psychosis,person,6
holidays,date,5
home,location,10
homework organization,concept,7
homicidality,condition,3
hong kong database,documents,1
hospitalization for serious infections,documents,1
household public assistance,service,2
humidity and light conditions,condition,3
"huybrechts et al., 2018",other,0
hydration,service,2
hyperactive-impulsive adhd presentations,entity,4
hyperactive-impulsive symptoms,condition,3
hyperactivity,concept,7
hyperactivity in children,condition,3
hyperactivity-impu lsivity and/or inattention,condition,3
hyperactivity/impulsivity subtypes,condition,3
hyperkinetic disorder,concept,7
hyperthyroidism (overactive thyroid),condition,3
hypospadias,condition,3
hypotension,condition,3
hypothyroidism (underactive thyroid),condition,3
icasa,organization,8
icd-11,documents,1
icd-11 criteria,documents,1
id,entity,4
idea (pl-101-476),documents,1
identifying unintentional reinforcement of negative behaviors,concept,7
ifc,location,10
ifc and insula,other,0
illegally used drugs,condition,3
imaging studies,service,2
imipramine,documents,1
immediate action,service,2
immediate reinforcement,concept,7
immediate rewards,concept,7
immediate-release,concept,7
immediate-release preparations allowed,service,2
immediate-release stimulants,documents,1
immigrants,person,6
impaired,condition,3
impaired academic functioning,concept,7
impairing level of intensity,condition,3
impairment,entity,4
impairment in verbal memory,concept,7
impairments in quality of life,condition,3
improved academic performance,concept,7
"improved brain function, most prominently in inferior frontal and striatal regions",condition,3
improved parent-reported child behavior,concept,7
"improved relationships with caregivers, teachers, siblings, or peers",concept,7
improved rule following,concept,7
improved sleep,concept,7
improvement in adhd symptoms,condition,3
improvement in overall functioning,condition,3
improvement in psychosocial functioning,concept,7
improvement in the core symptoms of adhd,condition,3
improvements,concept,7
improvements in living,concept,7
impulsive aggression,concept,7
impulsive cognition,concept,7
impulsive decision-making,condition,3
impulsiveness,concept,7
impulsivity,other,0
in insomnia,condition,3
in vitro fertilization designs108,documents,1
inadequate response to treatment,condition,3
inadequate self-control and weak behavioral inhibition,concept,7
inattention and hyperactivity,condition,3
inattention symptoms,condition,3
inattention symptoms and unhealthy eating habits,other,0
inattentive adhd presentations,entity,4
inattentive type,condition,3
incarceration,concept,7
inclusion criteria,service,2
incoming students,other,0
incorrect or incomplete diagnosis,condition,3
increase the risks of suicidality,documents,1
increased aggression or hostility,condition,3
increased blood pressure and heart rate,condition,3
increased heart rate (tachycardia),condition,3
increased rate of rare genetic mutations,condition,3
increases,condition,3
increases the effectiveness of,other,0
incredible years (iy),service,2
incredible years parenting program,concept,7
individual,person,6
individual patients,person,6
individuals (age 6 to 24 years) with adhd,entity,4
individuals at greatest risk,other,0
individuals who abused,person,6
individuals who die from stimulant overdoses,person,6
individuals who experience minor unwanted effects,person,6
infant,entity,4
infection,condition,3
inferior frontal cortex,entity,4
inferior frontal dysfunction,documents,1
inferior parietal and medial temporal regions,other,0
inflammation,condition,3
information about misuse and diversion,documents,1
information about negative academic or health effects,documents,1
information provision,service,2
ingroup therapy,service,2
inhalants,other,0
inhalation,service,2
inhibition,concept,7
inhibitory control,concept,7
initial prescription of medication,concept,7
initial treatment,service,2
injecting,other,0
injection,service,2
injuries,concept,7
inpatient care,documents,1
insights into key details of nmu,concept,7
insomnia,other,0
instant breakfast drinks,documents,1
insu fflation,condition,3
insufflation,service,2
insula,other,0
insulin resistance,condition,3
insurance companies,organization,8
integrative treatment,concept,7
integrative treatment program,concept,7
integrity of auditory sensory memory and involuntary attention switching,concept,7
intellectual disabilities,other,0
intellectual factors,concept,7
intellectual functioning,concept,7
intelligence,concept,7
intelligence quotient,concept,7
intelligent individuals,concept,7
intensified negative mood,condition,3
intensity,condition,3
intensity of subjective states and behavior,condition,3
intentional and unintentional injury,condition,3
intentional exposures,concept,7
"intentional, nontherapeutic use",entity,4
interdisciplinary collaborations,concept,7
intermittent explosive disorder,condition,3
international consensus statement,documents,1
international consensus statement on adhd,concept,7
international resources,organization,8
international society of psychiatric geneti cs,organization,8
internet,location,10
internet resources,documents,1
internet treatments,documents,1
intervention,service,2
interventions,concept,7
intolerance,concept,7
intracranial brain volume,documents,1
intranasally,condition,3
intravenous,other,0
intravenous abusers,service,2
intuniv,documents,1
intuniv (guanfacine),other,0
iq,documents,1
iq differences,concept,7
iq scores,concept,7
iq tests,documents,1
irritability,concept,7
irritability in adhd,condition,3
irritability in odd,condition,3
irritability or aggression (infrequent),other,0
irritability traits,condition,3
"irritability, mood swings and depressive symptoms",condition,3
ischemic heart disease,condition,3
israeli society of adhd,organization,8
itching,condition,3
jennum et al.,organization,8
job/school performance,condition,3
jornay,documents,1
juvenile detention,service,2
kapvay,documents,1
keeping environmental distractions to a minimum,concept,7
keilow et al.,documents,1
kidney failure,condition,3
kidscreen-10,documents,1
kooij et al.,other,0
l-deprenyl,service,2
large effect,concept,7
large family size,condition,3
large medical database called pubmed,documents,1
large population studies,documents,1
large studies,concept,7
larger delayed ones,concept,7
later cigarette or illegal substance use,condition,3
latin american league of adhd,organization,8
lead burden,documents,1
learning and memory,concept,7
learning disorder,condition,3
learning problems,concept,7
leaves seat in situations,condition,3
legal,entity,4
legal consequences of diverting medication,condition,3
legal issue,entity,4
level of function,concept,7
li et al.,documents,1
libutzki et al.,organization,8
licensed clinician,person,6
lifespan,date,5
lifetime ach ievement award,concept,7
limbic volume,location,10
limit naps to less than 45 minutes,concept,7
limit their alcohol consumption,concept,7
limited access to treatment by skilled providers,concept,7
limiting choices,concept,7
lines of communication,documents,1
liquid,documents,1
lisdexamfetamine,service,2
lisdexamfetamine dimesylate (ldx),documents,1
lisdexamphetamine,entity,4
literature review,service,2
liver damage,condition,3
liver disease evaluation,condition,3
liver function tests,service,2
liver problems,condition,3
liver problems such as hepatitis,condition,3
lives,concept,7
long -acting stimulants,documents,1
long acting,concept,7
long acting (10–12 hours),concept,7
long-acting medications,concept,7
long-acting preparations recommended,service,2
long-range fronto-posterior association tracts,documents,1
long-term follow-up of the multimodal treatment study of children with adhd (mta) study cohort,concept,7
long-term medication use,other,0
long-term outcomes,documents,1
long-term side effects,condition,3
long-term studies,documents,1
long-term studies (lower risk of later cigarette or illegal substance use),concept,7
long-term use,concept,7
longer acting than clonidine,concept,7
longitudinal study,documents,1
loss of appetite,condition,3
loss of appetite (anorexia),condition,3
low birth weight,concept,7
low blood pressure and slow heart rate,condition,3
low dose medication,service,2
low dose stimulant treatment,concept,7
low educational achievement,concept,7
low educational and occupational under-attainment,concept,7
low initial doses recommended,service,2
low omega-3 fatty acids,condition,3
low rating only means that the item is not essential for documenting the basics of quality care,other,0
low serum ferritin,condition,3
low ses,other,0
low social class,condition,3
low social class conditions,condition,3
low vitamin d during pregnancy,condition,3
low-risk and risky alcohol use,concept,7
lower achievement scores,concept,7
lower all-cause mortality,condition,3
lower doses of medication,documents,1
lower family income,condition,3
lower quality of life,concept,7
lrp5,entity,4
lrp6,entity,4
lu et al.,documents,1
lung cancer,condition,3
machine learning algorithms,documents,1
maher et al.,documents,1
maintaining a daily schedule,concept,7
maintenance phase,concept,7
major depression,entity,4
makes careless mistakes,condition,3
maladaptive emotions,condition,3
male,person,6
male-to-female sex ratio of adhd,concept,7
males with adhd,entity,4
malingering,concept,7
mandated training initiatives,concept,7
mania,condition,3
manuscript,documents,1
maois,concept,7
map1a,concept,7
marijuana,concept,7
maternal alcohol use during pregnancy,condition,3
maternal autoimmune disease,condition,3
maternal hyperthyroidism during pregnancy,condition,3
maternal hypothyroidism,condition,3
maternal hypothyroidism during pregnancy,condition,3
maternal mental disorder,condition,3
maternal pre-existing type 1 diabetes,condition,3
maternal preeclampsia,condition,3
maternal prenatal use of acetaminophen,entity,4
maternal smoking,documents,1
maternal vitamin d,condition,3
maturational delay,concept,7
maximimum tolerated dose,concept,7
maximum daily dose,concept,7
maximum dose of 100 mg per day,concept,7
meal timing,concept,7
measure,concept,7
measurement tool/assessment instrument,other,0
measurement tools,service,2
measurement-based care,concept,7
measures of neurocognitive functioning,service,2
measures to evaluate qol or functional impairment,concept,7
mechanisms of disease onset,concept,7
mechanisms/pathophysiology,concept,7
medial frontal reductions,condition,3
medial prefrontal and the posterior cingulate cortices,other,0
medial prefrontal cortex,entity,4
medical causes of adhd symptoms,condition,3
medical consequences of diverting medication,condition,3
medical history,other,0
"medical history (heart problems, dizziness, irregular heartbeats, shortness of breath, or chest pain)",documents,1
medical literature,documents,1
medical problem,condition,3
medical/neurological history,documents,1
medication adherence,documents,1
medication adjustment,concept,7
medication alone,concept,7
medication choice,service,2
medication contract,documents,1
medication form adjustment,service,2
medication holidays,service,2
medication management,service,2
medication or psychosocial interventions,concept,7
medication periods,location,10
medication response,concept,7
medication side effects/toxicity or signs of abuse/diversion,condition,3
medication therapy,service,2
medication trial,service,2
medication with food,service,2
medication-free weekends,concept,7
medications for children with adhd,documents,1
medications misuse,concept,7
meditation-based therapy,service,2
mediterranean diet,concept,7
medium effect,concept,7
mef2c,entity,4
megavitamins,documents,1
mehtylphenidate,documents,1
melatonin,documents,1
melchior adam weikard,person,6
memory,concept,7
men with adhd,person,6
mental conditions,concept,7
mental health assessment,documents,1
mental health challenges,condition,3
mental health concerns,condition,3
meta-analyses,service,2
meta-analyses and very large studies,documents,1
"meta-analysis (lenzi, cortese, harris, &masi, 2018)",documents,1
metabolic disorders,condition,3
metacognitive executive function training,service,2
methamphetamine,entity,4
method of diagnosing adhd,concept,7
methods to improve adherence,service,2
methylin®,entity,4
methylphenidate (mph),documents,1
methylphenidate preparations,service,2
methylphenidate treatment,service,2
methylphenidate users,person,6
methylphenidate users ages 46-65,person,6
methylphenidate users with previous alcohol and drug misuse,person,6
methylphenidate-based medications,entity,4
methyphenidate prescription,service,2
migraine,condition,3
mild,other,0
mild cognitive impairment and dementia,concept,7
milder adhd,condition,3
mind-wandering,concept,7
mindfulness and positive aspects of adhd,concept,7
mindfulness meditation,concept,7
mindfulness-based treatments,other,0
minimal brain dysfunction,condition,3
minimal brain dysfunction-related behaviors,concept,7
minor structural and functional brain differences,concept,7
minor toxicity,condition,3
mirtazapine,concept,7
mirtazapine (remeron),documents,1
misconceptions,condition,3
misdemeanors,documents,1
mismatch negativity,condition,3
mistake for emotional symptoms to be specific for adhd,other,0
misuse,concept,7
misuse and diversion,entity,4
misuse and diversion of stimulant medications,condition,3
misuse and diversion of these medications,condition,3
misuse of prescription drugs,entity,4
"misuse of stimulants (selling, giving away, taking higher than recommended doses, using with substances of misuse)",condition,3
misusers,entity,4
mixed amphetamine salts,concept,7
modafinil,service,2
moderate,other,0
molecular genetic data,documents,1
mon itoring body mass index,concept,7
monitor for changes in behavior and report to the healthcare provider,service,2
monitor headaches and consult with the healthcare provider,other,0
monitor irritability and consult with the healthcare provider,other,0
monitor mood symptoms,service,2
monitor your child closely for new or worsening tics,service,2
monitoring,service,2
monitoring and management,concept,7
monitoring schedule,service,2
monozygotic twins,location,10
monthly income,documents,1
mood,concept,7
mood disorder,condition,3
mood disorder with psychosis,entity,4
mood dysregulation,condition,3
mood monitoring,concept,7
mood problem,concept,7
mood regulation,concept,7
mood stabilizing medication,documents,1
mood swings,condition,3
mood symptoms,condition,3
moodiness,condition,3
morbidity,concept,7
more irritability or moodiness when taking medication,condition,3
morning,concept,7
morris et al. and o'neal and robins,organization,8
mortality,concept,7
mortality rates,documents,1
most cases of adhd,other,0
mother-child pairs,concept,7
mothers,person,6
mothers who were obese before pregnancy,entity,4
mothers with two or more prior miscarriages,entity,4
motiv ations,concept,7
motivation,concept,7
motivations and personality traits,concept,7
motor or vocal tics,condition,3
motor tics,condition,3
motor vehicle collision,concept,7
motor vehicle crashes,condition,3
movement regulation,concept,7
mph,service,2
mtbi,concept,7
multidimensional nature of emotional symptoms,other,0
multidisciplinary efforts,service,2
multidisciplinary panel,entity,4
multiple prescribers,organization,8
multiple settings,location,10
mydayis,other,0
narcolepsy,concept,7
nasal,other,0
nasal abusers,service,2
national collaborating centre for mental health,organization,8
national health and medical research council (australia),organization,8
national health and nutrition examination survey,service,2
national health insurance data,documents,1
national institute for children's health quality,organization,8
national institute for children's health quality toolkit,documents,1
national institute for health and care excellence (nice),organization,8
national institute for health care and excellence,organization,8
national institute of mental health,organization,8
national institute of mental health (nimh) adhd,organization,8
national prominence an d a distinguished reputation,concept,7
national survey on drug use and health (nsduh),organization,8
nationwide cohort study,documents,1
nationwide population study,documents,1
natural causes,condition,3
naturalistic studies,concept,7
nausea,condition,3
nausea/vomiting,condition,3
negative behaviors,condition,3
negative emotion,other,0
negative health behaviours,condition,3
negative mood symptoms,concept,7
negative parenting,concept,7
negative reinforcement,concept,7
negative thought patterns,condition,3
neglect,concept,7
nervousness,condition,3
network meta-analyses,service,2
network of researchers with annual meeting,concept,7
neural activation,condition,3
neurobiological research,other,0
neurobiology,concept,7
neurocognitive function,concept,7
neurocognitive impairment,concept,7
neurodevelopment,concept,7
neurodevelopmental condition,concept,7
neurodevelopmental disorders across lifespan section of european psychiatric association,organization,8
neurodiversity framework,concept,7
neuroenhancement,concept,7
neurofeedback,concept,7
neuroimaging scans,service,2
neuroimaging studies,entity,4
neuronal and nicotinic signalling pathways,service,2
neuronal development,concept,7
neuronal development and migration,concept,7
neuronal proliferation,concept,7
neuropsychiatric genetics journal,documents,1
neuropsychological tests,service,2
neurotherapeutic treatments,concept,7
neurotransmitters,documents,1
neutral fmri tasks,entity,4
new clinician,person,6
new directions for diagnosis,concept,7
new forest parenting program,concept,7
new medications currently in development,concept,7
new onset,documents,1
new scientific findings from the past 20 years,documents,1
nice guidelines,documents,1
nicotine,condition,3
nicotine dependence,condition,3
nicotine-related disorder,condition,3
nicotinic signalling,concept,7
night awakenings,concept,7
nitric oxide,concept,7
nitrogen dioxide levels,condition,3
nmu,concept,7
nmu (non-medical use),other,0
nmu behavior,concept,7
nmu crisis,other,0
nmu of amp,concept,7
nmu of mph,concept,7
nmu of prescription stimulants is highly prevalent,concept,7
nmu of stimulants,concept,7
nmu population prevalence,concept,7
no association with adhd,other,0
no significant effect on adhd,other,0
non-adhd symptoms,condition,3
non-medical treatments,service,2
non-medical use of prescribed stimulants,condition,3
non-medicated periods,concept,7
non-oral nmu,service,2
non-oral routes,service,2
non-psychiatric medical problems commonly occur among people with adhd,condition,3
non-responders,person,6
non-shared environmental factors,concept,7
non-stimulant medications,other,0
non-stimulants,documents,1
nonadherence to the treatment plan,condition,3
none,other,0
nonmedical use,concept,7
nonmedical use and diversion,concept,7
nonmedical use and diversion of prescription stimulants,concept,7
nonmedical users,other,0
nonstimulant medications,service,2
nonstimulants,concept,7
nonstimulants for adhd,service,2
noradrenaline,concept,7
noradrenergic system,documents,1
norepinephrine reuptake inhibitors,concept,7
normal cognitive fluctuations,concept,7
normative data,concept,7
normed scales,documents,1
north america,location,10
nortriptyline,documents,1
"not all people with adhd will suffer from all, or even only one, of these disorders",condition,3
not recommended adhd treatment,condition,3
not wearing a seatbelt,concept,7
novelty processing,concept,7
nsduh data,documents,1
nucleus accumbens,entity,4
number of children,documents,1
number of sessions,condition,3
numbers,concept,7
nutrient deficiencies,condition,3
nutrient deficiencies (ferritin),documents,1
nutrient deficiencies (serum iron levels),documents,1
nutrition,concept,7
obesity,condition,3
obesity in mothers,condition,3
observed behavior,other,0
observed deficits in brain structure,condition,3
occupational failure,other,0
occupational functioning,other,0
ocd,condition,3
odd,entity,4
odd symptoms,condition,3
offer high-calorie snacks such as instant breakfast drinks,documents,1
offspring of mothers with a single prior miscarriage,concept,7
offspring of mothers with no history of miscarriage,concept,7
older adolescents and adults,person,6
omega-3 fatty acid supplementation,documents,1
omega-3 pufas,concept,7
omni healthcare communications,organization,8
one persistent myth,concept,7
online health misinformation,documents,1
onset,concept,7
onset prior to the age 12 years cannot be documented,concept,7
oocyte leading to pregnancy,concept,7
opioid,concept,7
opioid dependence,condition,3
opioid use disorder: treatment overview,documents,1
oppositional defiant disorder,condition,3
oppositional deﬁant disorder,condition,3
oral,other,0
oral administration,service,2
orbitofrontal cortex,other,0
organisation skills,organization,8
organizational skills interventions,concept,7
organizational structure or systems,organization,8
organizational/planning skills,concept,7
organizations that study and treat adhd,organization,8
organophosphate pesticides,documents,1
orthostatic hypotension,condition,3
other approaches to emotion-regulatory processes disrupted in adhd,concept,7
other psychiatric and substance use disorder,condition,3
other psychiatric diagnosis,condition,3
other stimulant class,service,2
out-of-home care,service,2
outcomes,concept,7
outcomes associated with nmu,concept,7
outcomes over longer periods of time,other,0
over-focused or repeated movements (tics or habits),condition,3
over-the-counter medications,concept,7
overdose,condition,3
overused medication,concept,7
oxidative stress,condition,3
paid tools,documents,1
pain relievers,other,0
palpitations,condition,3
parent,person,6
parent (or caregiver) training in behavior management,service,2
parent -child relationship,concept,7
parent behavior management program,service,2
parent behavior management training (pbmt),service,2
parent management training,concept,7
parent referral for treatment,concept,7
parent training,service,2
parent training in behavior management (ptbm),service,2
parent-child behavior therapy,service,2
parent-child interaction therapy,concept,7
parent-rated emotional lability symptoms,documents,1
parent-rated oppositional symptoms,documents,1
parental criminality,condition,3
parental educational attainment,condition,3
parental outcomes,concept,7
parental relative income poverty,condition,3
parental satisfaction,condition,3
parental unemployment,condition,3
parenting context,location,10
parenting skills,documents,1
parents and teacher reports,concept,7
parents from low ses households,entity,4
parents having low educational levels,documents,1
parents with suspected or diagnosed adhd,entity,4
parents' medication guide,documents,1
parents' medication guidedysregulation,concept,7
parents' quality of life,condition,3
pargyline,service,2
parietal cortex,location,10
parietal region,location,10
paroxetine,entity,4
partial response (some impairing symptoms persist),concept,7
participants,person,6
participants and their significant others,person,6
particulate matter,documents,1
particulate matter levels,condition,3
patches,documents,1
paternal autoimmune disease,condition,3
pathophysiology,concept,7
patient,person,6
patient advocacy groups,organization,8
patient commitment,person,6
patient education,concept,7
patient experience,concept,7
patient perceptions,condition,3
patient preference,person,6
patient supply,condition,3
patient values and preferences,entity,4
patient's family,organization,8
patient's symptoms,condition,3
patient-generated goals discussed,documents,1
patients and health care systems,concept,7
patients leaving practice,entity,4
patients medicated for adhd,entity,4
patients seen within a timely fashion,entity,4
patients with documentation of concerns being discussed,entity,4
patients with documented satisfaction assessment,entity,4
patients with neither one physician visit nor medication claim in 6 months,condition,3
patients with no ei,entity,4
patient’s level of ei,concept,7
pau l hoch award,concept,7
pbmt,service,2
pediatricians,person,6
peer behavior,concept,7
peer conflicts,condition,3
peer conflicts and social exclusion,documents,1
peers,entity,4
people,entity,4
people all around the world,location,10
people who have read this document and agree with its contents,person,6
performance deficits in psychological processes,concept,7
performance enhancement,concept,7
performance enhancing drugs,entity,4
performance validity tests,entity,4
perinatal hypoxia,other,0
peripheral vasculopathy,condition,3
perpetrators of physical dating violence,documents,1
persistence of symptoms,concept,7
persistent adhd,condition,3
persistent negative mood symptoms,condition,3
person,entity,4
person's mother,person,6
personality disorders,condition,3
personalized approach,concept,7
personalized treatments,concept,7
personnel,entity,4
persons at least fifty years old,person,6
pharmaceutical industry,concept,7
pharmacies,organization,8
pharmaco logical therapy,concept,7
pharmacokinetic profiles of long-acting and immediate-release preparations,concept,7
pharmacokinetics,entity,4
pharmacologic treatment,concept,7
pharmacological treatments,service,2
pharmacotherapies,documents,1
pharmacotherapy,service,2
phone calls,service,2
phthalate metabolite levels,documents,1
physical conditions,concept,7
physical examination,concept,7
physical functioning,concept,7
pill counts,documents,1
pills per prescription,documents,1
placebo,concept,7
plasma levels,condition,3
play therapy,concept,7
play-based interventions,service,2
pliszk a,person,6
points of intervention that will improve the effectiveness of medical and non-medical treatments and prevent onset of the disorder,entity,4
poison control calls,documents,1
poison control centers,organization,8
poison control centers and dawn data,service,2
poison control centers data,documents,1
poisoning in children,condition,3
police station interrogations,service,2
polr3c,other,0
polygenic cause,concept,7
polygenic risk,condition,3
polygenic risk scores,documents,1
polygenic score (pgs),service,2
polymorphisms,documents,1
polysubstance use,condition,3
polythetic criteria,documents,1
poor dental hygiene,condition,3
poor judgment,concept,7
poor performance on measures of expressive language,concept,7
poor performance on measures of overall language,concept,7
poor performance on measures of pragmatic language,concept,7
poor performance on measures of receptive language,concept,7
poor work performance,concept,7
poorly controlled emotionally driven behavior,condition,3
poorly regulated emotions,concept,7
popularity,documents,1
population,other,0
positive behaviors,concept,7
positive parenting,service,2
positive parenting program (triple p),concept,7
positive reinforcement,service,2
posterior corpus callosum,location,10
posterior parieto-temporal attention regions,documents,1
potential risks,concept,7
potential side effects of atx,concept,7
potentially harmful cam therapies,concept,7
poverty,condition,3
practitioner,person,6
pre-existing type 1 diabetes,condition,3
pre-kindergarten academic curriculum (stp-pre-k),concept,7
predicting emotional symptoms,entity,4
prediction,concept,7
predictive modelling,service,2
predictor of treatment response,entity,4
preeclampsia,condition,3
preferential seating,documents,1
pregnancies,entity,4
pregnancies in denmark,location,10
pregnancies in the united states,location,10
pregnancy and adhd,condition,3
pregnant or breastfeeding women,person,6
pregnant woman,person,6
premature death,concept,7
prenatal exposure,condition,3
prenatal exposure to acetaminophen,condition,3
prenatal exposure to maternal smoking,concept,7
preparation,service,2
preschool or daycare,location,10
preschool teachers and clinicians,organization,8
preschoolers with symptoms of adhd,entity,4
prescribed stimulants,documents,1
prescriber,person,6
prescribing medications for adhd,entity,4
prescription drug monitoring programs,concept,7
prescription for adhd medication,documents,1
prescription monitoring program consulted at least annually,service,2
prescription refill requests,entity,4
prescription refills are coordinated with other prescribers,concept,7
prescription stimulant,documents,1
prescription stimulant misuse,concept,7
prescriptions at multiple pharmacies,organization,8
preterm birth,other,0
preterm or very low birth weight,concept,7
prevalence,concept,7
prevalence of adhd,condition,3
prevalence of adhd among adolescents,concept,7
prevalence of adhd in prisons,concept,7
prevalence of false confessions,concept,7
prevalence of physical dating violence,concept,7
prevalence of stimulant nmu,other,0
prevention and treatment strategies,service,2
