source,target,edge,edge_type,value,color
d.f.c.,akili interactive labs,exists is same context,contextual proximity,2,#808080
d.f.c.,arbor pharmaceuticals,exists is same context,contextual proximity,2,#808080
d.f.c.,b.b.,exists is same context,contextual proximity,2,#808080
d.f.c.,s.v.f.,exists is same context,contextual proximity,15,#808080
d.f.c.,shire pharmaceuticals,research support from,relation,4,#22dd22
d.f.c.,stephen v. faraone,exists is same context,contextual proximity,2,#808080
d.p.o.,a.s.p.,exists is same context,contextual proximity,4,#808080
d.p.o.,a.y.m.,exists is same context,contextual proximity,8,#808080
d.p.o.,ach’e,exists is same context,contextual proximity,4,#808080
d.p.o.,b.s.g.m.,exists is same context,contextual proximity,4,#808080
d.p.o.,editora manole,exists is same context,contextual proximity,4,#808080
d.p.o.,g.v.p.,exists is same context,contextual proximity,20,#808080
d.p.o.,institute of education sciences,exists is same context,contextual proximity,4,#808080
d.p.o.,j.t.n.,exists is same context,contextual proximity,4,#808080
d.p.o.,janssen,"reports financial disclosures from (travel/accommodation support),exists is same context",relation,8,#22dd22
d.p.o.,medice,"reports financial disclosures from (travel/accommodation/honoraria),exists is same context",relation,12,#22dd22
d.p.o.,michael smith foundation for health research,exists is same context,contextual proximity,4,#808080
d.p.o.,national institute of mental health,exists is same context,contextual proximity,4,#808080
d.p.o.,national institutes of health,exists is same context,contextual proximity,4,#808080
d.p.o.,novo nordisk,exists is same context,contextual proximity,4,#808080
d.p.o.,otsuka,"reports financial disclosures from (speaker fees),exists is same context",relation,8,#22dd22
d.p.o.,s.m.,exists is same context,contextual proximity,4,#808080
d.p.o.,shire,"reports financial disclosures from (advisory board/speaker fees 2016-2018),exists is same context",relation,8,#22dd22
d.p.o.,shire/takeda,exists is same context,contextual proximity,4,#808080
d.p.o.,social sciences and humanities research council of canada,exists is same context,contextual proximity,4,#808080
d.p.o.,takeda,exists is same context,contextual proximity,4,#808080
dag gjeitneieset,attention-deficit/hyperactivity disorder,"Dag Gjeitneieset is a researcher on ADHD,exists is same context",relation,23,#22dd22
daily life structure,adhd,exists is same context,contextual proximity,3,#808080
daily life structure,sud,exists is same context,contextual proximity,2,#808080
daily life structure,therapy,exists is same context,contextual proximity,2,#808080
daily report card,adhd,exists is same context,contextual proximity,2,#808080
daily report card,caregivers,Use a daily report card to help caregivers monitor their child's symptoms and how well the current ADHD treatment plan is working,relation,4,#22dd22
daily report card,child,exists is same context,contextual proximity,2,#808080
daily report card,school work,exists is same context,contextual proximity,2,#808080
daily schedule,behavior management techniques,"Following a daily schedule is one of the behavior management techniques that adults can use,exists is same context",relation,15,#22dd22
"daily tasks at home, school, or work",adhd,exists is same context,contextual proximity,4,#808080
"daily tasks at home, school, or work",adhd symptoms,exists is same context,contextual proximity,2,#808080
"daily tasks at home, school, or work",attention and concentration,exists is same context,contextual proximity,2,#808080
"daily tasks at home, school, or work",hyperactivity,exists is same context,contextual proximity,2,#808080
"daily tasks at home, school, or work",impulsive behavior,exists is same context,contextual proximity,2,#808080
"dalsgaard, s.",adhd,exists is same context,contextual proximity,2,#808080
"dalsgaard, s.","ostergaard, s.d.",exists is same context,contextual proximity,2,#808080
dat1,adhd,exists is same context,contextual proximity,3,#808080
dat1,genes implicated by meta-analyses,"implicated as a risk gene,exists is same context",relation,10,#22dd22
database of workers with adhd,adhd-related costs,exists is same context,contextual proximity,2,#808080
"davidson, r.j.",affective style and affective disorders,Author of the concept,relation,4,#22dd22
"davidson, r.j.","cuthbert, b.n.",exists is same context,contextual proximity,2,#808080
"davidson, r.j.","etkin, a.",exists is same context,contextual proximity,2,#808080
davis,arnold,exists is same context,contextual proximity,2,#808080
davis,kabaj,exists is same context,contextual proximity,2,#808080
davis,lehner,exists is same context,contextual proximity,2,#808080
davis,lewis,exists is same context,contextual proximity,2,#808080
davis,mackintosh,exists is same context,contextual proximity,2,#808080
davis,mcintosh,exists is same context,contextual proximity,2,#808080
davis,milne,exists is same context,contextual proximity,2,#808080
davis,murray,exists is same context,contextual proximity,2,#808080
davis,rees,exists is same context,contextual proximity,2,#808080
davis,sullivan,exists is same context,contextual proximity,2,#808080
davis,talbot,exists is same context,contextual proximity,2,#808080
davis,vill,exists is same context,contextual proximity,2,#808080
davis,watson,exists is same context,contextual proximity,2,#808080
daytime sleepiness,adhd,exists is same context,contextual proximity,3,#808080
daytime sleepiness,home confinement associated with covid-19 pandemic,Home confinement associated with the COVID-19 pandemic has exacerbated many of these complaints,relation,4,#22dd22
daytime sleepiness,sleep latency,is measured by,relation,4,#22dd22
daytrana,adhd,exists is same context,contextual proximity,3,#808080
daytrana,methylphenidate,exists is same context,contextual proximity,4,#808080
"de geus, e.j.c.","grabe, h.j.","collaborated on the study,exists is same context",relation,6,#22dd22
"de rubeis, s.","arking, d.e.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","bettella, f.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","buxbaum, j.d.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","christensen, j.h.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","collins, r.l.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","coon, h.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","delorme, r.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","grice, d.e.","co-author,exists is same context",relation,8,#22dd22
"de rubeis, s.","hansen, t.f.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","holmans, p.a.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","hope, s.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","hultman, c.m.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","klei, l.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","ladd-acosta, c.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","magnusson, p.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","nyegaard, m.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","nærland, t.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","pertella, l.r.",exists is same context,contextual proximity,2,#808080
"de rubeis, s.","rasmussen, k.j.",exists is same context,contextual proximity,2,#808080
"de rubeis, s.","werge, t.",exists is same context,contextual proximity,4,#808080
"de rubeis, s.","zayats, t.",exists is same context,contextual proximity,4,#808080
decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years,attention-deficit/hyperactivity disorder,exists is same context,contextual proximity,3,#808080
decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years,diagnostic and statistical manual of mental disorders,exists is same context,contextual proximity,3,#808080
decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years,int. j. epidemiol.,"Reference 7 refers to the document 'Decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years' which is published in the service 'Int. J. Epidemiol.',exists is same context",relation,6,#22dd22
decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years,international classification of diseases 11th revision,exists is same context,contextual proximity,3,#808080
decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years,the world federation of adhd international consensus statement,exists is same context,contextual proximity,3,#808080
decongestants,stimulants,exists is same context,contextual proximity,5,#808080
decreased appetite,adhd,exists is same context,contextual proximity,3,#808080
decreased appetite,adhd medication,exists is same context,contextual proximity,2,#808080
decreased appetite,alpha agonists (clonidine and guanfacine),exists is same context,contextual proximity,3,#808080
decreased appetite,amphetamines,exists is same context,contextual proximity,2,#808080
decreased appetite,atomoxetine,"is a TEAE for,exists is same context",relation,27,#22dd22
decreased appetite,atomoxetine (strattera),exists is same context,contextual proximity,7,#808080
decreased appetite,dry mouth,exists is same context,contextual proximity,2,#808080
decreased appetite,excessive tiredness,exists is same context,contextual proximity,2,#808080
decreased appetite,fatigue,exists is same context,contextual proximity,2,#808080
decreased appetite,headache,exists is same context,contextual proximity,2,#808080
decreased appetite,insomnia,exists is same context,contextual proximity,2,#808080
decreased appetite,nausea,exists is same context,contextual proximity,3,#808080
decreased appetite,short-acting stimulant doses,exists is same context,contextual proximity,2,#808080
decreased appetite,sleep problems,exists is same context,contextual proximity,2,#808080
decreased appetite,stimulant use,exists is same context,contextual proximity,4,#808080
decreased appetite,stimulants,exists is same context,contextual proximity,4,#808080
decreased appetite,suicidal ideation,exists is same context,contextual proximity,2,#808080
decreased appetite,trouble falling asleep and weight loss,are some of the most common side effects,relation,4,#22dd22
decreased appetite,viloxazine (qelbree),exists is same context,contextual proximity,3,#808080
decreased appetite,α2-adrenergic agonists,exists is same context,contextual proximity,6,#808080
decreased prefrontal-limbic connectivity during a face go-no go task,adult adhd subjects,exists is same context,contextual proximity,2,#808080
decreased prefrontal-limbic connectivity during a face go-no go task,emotional control subscale of the brief-a,exists is same context,contextual proximity,2,#808080
decreased prefrontal-limbic connectivity during a face go-no go task,negative emotional bias on cognitive control,showed corresponding improvement,relation,4,#22dd22
decreased prefrontal-limbic connectivity during a face go-no go task,young adults (18 –30 years) with adhd,exists is same context,contextual proximity,3,#808080
decreases in appetite,irritability,"can be improved by taking medicine,exists is same context",relation,19,#22dd22
decreases in appetite,moodiness,exists is same context,contextual proximity,12,#808080
decreases in appetite,nervousness,"can be improved by taking medicine,exists is same context",relation,19,#22dd22
decreases in appetite,poor circulation in the hands and feet,exists is same context,contextual proximity,12,#808080
decreases in appetite,rare,exists is same context,contextual proximity,3,#808080
decreases in appetite,serious side effects,exists is same context,contextual proximity,3,#808080
decreases in appetite,stomach pain,"can be improved by taking medicine,exists is same context",relation,19,#22dd22
deep sequencing studies,adhd,exists is same context,contextual proximity,2,#808080
deep sequencing studies,genetic variants,"deep sequencing studies should find genetic variants that regulate the function of other genes or affect proteins involved in brain development,exists is same context",relation,6,#22dd22
default mode network (dmn),adhd,exists is same context,contextual proximity,3,#808080
default mode network (dmn),attention and cognitive control networks,exists is same context,contextual proximity,2,#808080
default mode network (dmn),attentional lapses,exists is same context,contextual proximity,3,#808080
default mode network (dmn),dmn interference hypothesis,exists is same context,contextual proximity,6,#808080
default mode network (dmn),dysfunctional intrinsic connectivity,exists is same context,contextual proximity,3,#808080
default mode network (dmn),self-referential thoughts and mind-wandering,exists is same context,contextual proximity,2,#808080
default-mode network (dmn),adhd,"under-activated in ADHD,exists is same context",relation,24,#22dd22
default-mode network (dmn),alerting network,exists is same context,contextual proximity,20,#808080
default-mode network (dmn),amygdala,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),corticocerebellar networks,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),executive control,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),executive control and corticocerebellar networks,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),frontal cortical area,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),inferior parietal region,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),medial prefrontal cortex,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),medial temporal region,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),orbitofrontal cortex,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),parietal cortical area,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),posterior cingulate cortex,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),reward processing network,exists is same context,contextual proximity,30,#808080
default-mode network (dmn),reward system,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),substantia nigra,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),thalamus,exists is same context,contextual proximity,10,#808080
default-mode network (dmn),ventral striatum,exists is same context,contextual proximity,5,#808080
default-mode network (dmn),ventromedial prefrontal cortex,exists is same context,contextual proximity,5,#808080
deficient emotional self-regulation (desr),adhd,"deficient emotional self-regulation may be sufficiently specific for ADHD to function as diagnostic criteria,exists is same context",relation,8,#22dd22
deficient emotional self-regulation (desr),adhd (attention deficit hyperactivity disorder),"Distinguishable process in emotional experience,exists is same context",relation,10,#22dd22
deficient emotional self-regulation (desr),desr (deficient emotional self-regulation),exists is same context,contextual proximity,2,#808080
deficient emotional self-regulation (desr),ei (emotional intensity),exists is same context,contextual proximity,2,#808080
deficient emotional self-regulation (desr),emotional intensity (ei),exists is same context,contextual proximity,4,#808080
deficient emotional self-regulation (desr),emotionally reactive behavior,exists is same context,contextual proximity,4,#808080
deficient emotional self-regulation (desr),emotiongeneration,exists is same context,contextual proximity,2,#808080
deficient emotional self-regulation (desr),emotionregulation,exists is same context,contextual proximity,2,#808080
deficient emotional self-regulation (desr),self-regulatory functions,exists is same context,contextual proximity,2,#808080
deficit/hyperactivity disorder,attention-deficit/hyperactivity disorder (adhd),exists is same context,contextual proximity,2,#808080
deficit/hyperactivity disorder,electroencephalography,has been studied using,relation,4,#22dd22
definition and classification of the cardiomyopathies,wolff-parkinson-white syndrome,exists is same context,contextual proximity,2,#808080
"degenhardt, f.","schumacher, j.",Co-authored the study with,relation,4,#22dd22
delayed diagnosis,adhd,exists is same context,contextual proximity,2,#808080
delayed diagnosis,adults with adhd,"is believed to be related to lower genetic liability for ADHD,exists is same context",relation,6,#22dd22
delayed diagnosis,college students,exists is same context,contextual proximity,2,#808080
delayed diagnosis,college-age students with adhd,exists is same context,contextual proximity,2,#808080
delayed height gains,insomnia,exists is same context,contextual proximity,3,#808080
delayed height gains,methylphenidate,exists is same context,contextual proximity,6,#808080
delayed height gains,stimulants,exists is same context,contextual proximity,2,#808080
delayed sleep onset,adhd,exists is same context,contextual proximity,3,#808080
delayed sleep onset,behavioral contributors,exists is same context,contextual proximity,2,#808080
delayed sleep onset,circadian rhythm disturbances,exists is same context,contextual proximity,2,#808080
delayed sleep onset,sleep habits,exists is same context,contextual proximity,2,#808080
delayed sleep onset,sleep issues,exists is same context,contextual proximity,4,#808080
delayed sleep onset,stimulants,exists is same context,contextual proximity,8,#808080
delayed sleep-wake,bright light in the morning,exists is same context,contextual proximity,2,#808080
delayed sleep-wake,melatonin in the late afternoon,exists is same context,contextual proximity,2,#808080
delayed sleep-wake,sleep-onset insomnia,exists is same context,contextual proximity,2,#808080
delayed sleep-wake phase disorder,circadian rhythm disturbances,exists is same context,contextual proximity,4,#808080
delayed sleep-wake phase disorder,irregular sleep-wake rhythm disorder,exists is same context,contextual proximity,3,#808080
delayed sleep-wake phase disorder,medications,exists is same context,contextual proximity,2,#808080
delays in children,behavioral changes ,exists is same context,contextual proximity,30,#808080
delays in children,cardiovascular effects ,"are related to each other,exists is same context",relation,64,#22dd22
delays in children,central nervous system effects ,"are related to each other,exists is same context",relation,64,#22dd22
delays in children,gastrointestinal issues ,"are related to each other,exists is same context",relation,34,#22dd22
delays in children,"headache, dizziness, and nervousness.",exists is same context,contextual proximity,15,#808080
delays in children,"increased aggression or hostilit y, especially i n children.",exists is same context,contextual proximity,5,#808080
delays in children,increased heart rate (tachy cardia) and elevated blood pressur e,exists is same context,contextual proximity,15,#808080
delays in children,insomnia or trouble fa lling and staying asleep.,exists is same context,contextual proximity,10,#808080
delays in children,"irritability, anxiet y, and mood swings.",exists is same context,contextual proximity,5,#808080
delays in children,"nausea, stomach pain, and vomiting.",exists is same context,contextual proximity,5,#808080
delays in children,psychiatric symptoms ,"are related to each other,exists is same context",relation,69,#22dd22
delays in children,sleep disturbances ,"are related to each other,exists is same context",relation,64,#22dd22
delays in children,tics: development or worseni ng of motor or  vocal tics.,exists is same context,contextual proximity,5,#808080
delays in children,tics: development or worseni ng of motor or  vocal tics. ,exists is same context,contextual proximity,20,#808080
deliberate self-poisoning,adhd,exists is same context,contextual proximity,5,#808080
deliberate self-poisoning,attention deficit hyperactivity disorder,exists is same context,contextual proximity,2,#808080
deliberate self-poisoning,attention-deficit hyperactivity disorder,Deliberate self-poisoning is related to attention-deficit hyperactivity disorder as individuals with attention deficit hyperactivity disorder are at an increased risk of deliberate self-poisoning,relation,4,#22dd22
deliberate self-poisoning,attention-deficit/hyperactivity disorder,exists is same context,contextual proximity,2,#808080
deliberate self-poisoning,disabilities,exists is same context,contextual proximity,2,#808080
delinquency,adhd,exists is same context,contextual proximity,3,#808080
delinquency,adhd medications,exists is same context,contextual proximity,3,#808080
delinquency,adhd treatments,exists is same context,contextual proximity,2,#808080
deloitte access economics,awmd online journal,exists is same context,contextual proximity,2,#808080
deloitte access economics,j. atten. disord. journal,exists is same context,contextual proximity,2,#808080
"delorme, r.","arking, d.e.",exists is same context,contextual proximity,4,#808080
"delorme, r.","bettella, f.",exists is same context,contextual proximity,4,#808080
"delorme, r.","buxbaum, j.d.",exists is same context,contextual proximity,4,#808080
"delorme, r.","christensen, j.h.",exists is same context,contextual proximity,4,#808080
"delorme, r.","collins, r.l.",exists is same context,contextual proximity,4,#808080
"delorme, r.","coon, h.",exists is same context,contextual proximity,4,#808080
"delorme, r.","de rubeis, s.",exists is same context,contextual proximity,4,#808080
"delorme, r.","grice, d.e.",exists is same context,contextual proximity,4,#808080
"delorme, r.","hansen, t.f.","co-author,exists is same context",relation,8,#22dd22
"delorme, r.","holmans, p.a.",exists is same context,contextual proximity,4,#808080
"delorme, r.","hope, s.",exists is same context,contextual proximity,4,#808080
"delorme, r.","hultman, c.m.",exists is same context,contextual proximity,4,#808080
"delorme, r.","klei, l.",exists is same context,contextual proximity,4,#808080
"delorme, r.","ladd-acosta, c.",exists is same context,contextual proximity,4,#808080
"delorme, r.","magnusson, p.",exists is same context,contextual proximity,4,#808080
"delorme, r.","nyegaard, m.",exists is same context,contextual proximity,4,#808080
"delorme, r.","nærland, t.",exists is same context,contextual proximity,4,#808080
"delorme, r.","pertella, l.r.",exists is same context,contextual proximity,2,#808080
"delorme, r.","rasmussen, k.j.",exists is same context,contextual proximity,2,#808080
"delorme, r.","werge, t.",exists is same context,contextual proximity,4,#808080
"delorme, r.","zayats, t.",exists is same context,contextual proximity,4,#808080
dementia,adhd,exists is same context,contextual proximity,10,#808080
dementia,autism,exists is same context,contextual proximity,2,#808080
demontis et al.,adhd,exists is same context,contextual proximity,2,#808080
demontis et al.,adhd gwas associations,identified,relation,4,#22dd22
"dempfle, a.","rothenberger, a.",researched together,relation,4,#22dd22
denmark,"institute of psychiatry, psychology & neuroscience",exists is same context,contextual proximity,2,#808080
denmark,switzerland,exists is same context,contextual proximity,2,#808080
"denyer, h.",bmc psychiatry,author of a multi-centre prospective cohort study protocol,relation,4,#22dd22
denys,arnold,exists is same context,contextual proximity,2,#808080
denys,depienne,Co-author,relation,4,#22dd22
denys,kabaj,exists is same context,contextual proximity,2,#808080
denys,lehner,exists is same context,contextual proximity,2,#808080
denys,lewis,exists is same context,contextual proximity,2,#808080
denys,mackintosh,exists is same context,contextual proximity,2,#808080
denys,mcintosh,exists is same context,contextual proximity,2,#808080
denys,milne,exists is same context,contextual proximity,2,#808080
denys,murray,exists is same context,contextual proximity,2,#808080
denys,rees,exists is same context,contextual proximity,2,#808080
denys,sullivan,exists is same context,contextual proximity,2,#808080
denys,talbot,exists is same context,contextual proximity,2,#808080
denys,vill,exists is same context,contextual proximity,2,#808080
denys,watson,exists is same context,contextual proximity,2,#808080
department of biomedicine,aarhus university,The department is located in Aarhus University,relation,4,#22dd22
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences","department of cognitive neuroscience, donders institute for brain, cognition and behaviour",exists is same context,contextual proximity,4,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences","department of psychiatry and psychotherapy, university hospital bonn",exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences","department of psychiatry, icahn school of medicine at mount sinai",exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences","donders institute for brain, cognition and behaviour",exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences","faculdade de medicina fmusp, universidade de são paulo",exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",icahn school of medicine at mount sinai,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",institute of mental health,exists is same context,contextual proximity,4,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences","institute of psychiatry, psychology & neurosciences","part of,exists is same context",relation,6,#22dd22
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",karakter child and adolescent psychiatry university center,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",king’s college london,"located in,exists is same context",relation,6,#22dd22
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",mindtech medtech co-operative,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",nihr mindtech medtech co-operative,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",nihr nottingham biomedical research centre,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",radboudumc,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",universidade de são paulo,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",university hospital bonn,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",university of nijmegen,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",university of nottingham,exists is same context,contextual proximity,2,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences, king ’s college london","barcelona, catalonia, spain ",exists is same context,contextual proximity,4,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences, king ’s college london",germany ,exists is same context,contextual proximity,4,#808080
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences, king ’s college london","london, uk ",located in,relation,4,#22dd22
department of child and adolescent psychiatry,"institute of psychiatry, psychology & neuroscience","part of,exists is same context",relation,6,#22dd22
department of child and adolescent psychiatry,nihr mindtech medtech co-operative,exists is same context,contextual proximity,2,#808080
department of child and adolescent psychiatry,switzerland,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",adhd,exists is same context,contextual proximity,8,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich","baltimore, md, usa",exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",course,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich","department of child and adolescent psychiatry, psychosomatics and psychotherapy, university hospital wuerzburg",exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",diagnosis,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",italy,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",johns hopkins university school of public health,exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",midwest research group,exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",outcome,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich","st charles, mo, usa",exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",torino,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",treatment,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",university of torino,exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",university of zurich,"Part of,exists is same context",relation,6,#22dd22
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich","wuerzburg, germany",exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich","zurich, switzerland","Located in,exists is same context",relation,6,#22dd22
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)","department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)","departments of human genetics and psychiatry, donders institute for brain, cognition and behaviour, radboud university medical center",exists is same context,contextual proximity,3,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)","donders institute for brain, cognition and behaviour",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",germany,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",ireland,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)","national centre for register-based research, aarhus university",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",nihr mindtech mental health medtech cooperative & centre for adhd and neurodevelopmental disorders across the lifespan (candal),exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)","nijmegen, the netherlands",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",radboud university medical centre,exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)","trinity college, dublin, ireland",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",university cologne,"Part of,exists is same context",relation,6,#22dd22
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",vrije universiteit brussel (vub),exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, center of mental health, university hospital würzburg","barcelona, catalonia, spain ",exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, center of mental health, university hospital würzburg",germany ,exists is same context,contextual proximity,4,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, center of mental health, university hospital würzburg","würzburg, germany ",located in,relation,4,#22dd22
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)","aarhus, denmark",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)",belgium,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)",canada,exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)",canadian adhd resource alliance (caddra),exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)","department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)","department of psychiatry, brussel, belgium",exists is same context,contextual proximity,2,#808080
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)","departments of human genetics and psychiatry, donders institute for brain, cognition and behaviour, radboud university medical center",exists is same context,contextual proximity,6,#808080
