id,type
diagnostic codes from medical billing to identify patients with prior cv history,other
diagnostic concepts of adhd,concept
diagnostic guidelines,documents
diagnostic interview for adhd in adults (diva 5),documents
diastolic bp,condition
diet,concept
dietary habits,documents
dietary intake,documents
dietary interventions,other
dietary patterns,condition
dietrich,person
diets limited to only a few hypo-allergenic foods,concept
differentiate normative and non-normative hyperactivity or impulsivity,concept
differentiate normative versus non-normative behaviours,concept
difficulties,concept
difficulties in emotion regulation scale (ders),documents
difficulty controlling emotional responses,other
difficulty falling asleep,other
difficulty keeping up at work,documents
difficulty relaxing,condition
difficulty remaining seated,other
difficulty waiting turns,other
difficulty with relationships,concept
diffusion imaging studies,documents
difﬁculties in emotion regulation scale,concept
difﬁculties in emotion regulation scale short form (ders-sf),documents
digital health interventions (dhis),service
digital interventions,service
digital interventions in adhd,service
dimepre-j-department of precision and rigenerative medicine-jonic area,organization
dimethyl alkylphosphate (dmap),documents
diminished income potential,concept
direct medical costs,condition
direct medical costs of adhd and its comorbid conditions,concept
disabilities,condition
discontinuation due to adverse event,condition
discontinuing medication,other
discordant patterns,concept
"discordant patterns among emotional experience, arousal, and expression in adolescence",concept
diseases,object
disincentive,concept
disinhibited behavior,other
disorder,concept
disorder components,concept
"disorders, 5th ed.",documents
disorganized living,other
disrupted sleep,concept
disruptive behavior disorders,condition
disruptive mood dysregulation disorder,condition
"distinguished professor and vice chair for research department of psychiatry, norton college of medicinesuny upstate medical university",organization
distractibility,condition
distractions,concept
distress and/or impairment,condition
distress tolerance,concept
distress tolerance scale,documents
diva foundation,other
diversion,concept
division of psychiatry and applied psychology,other
"division of psychiatry and applied psychology, school of medicine university of nottingham",organization
division of psychological medicine and clinical neurosciences,organization
dizziness,condition
dizziness and lightheadedness,condition
dlpfc,location
dmdd,concept
dmn interference hypothesis,concept
dna analysis,other
dna studies,documents
dna variations,object
doctor,person
doctor or nurse,person
document,documents
"donders institute for brain, cognition and behaviour",organization
"donders institute for brain, cognition and behaviour (dibccb)",organization
"dong, t.",person
dopamine,other
dopamine and norepinephrine,object
dopamine effect enhancement,condition
dopamine regulation,concept
dopamine system,concept
dopamine transporter,concept
dopamine transporter gene,concept
dopaminergic activity,concept
dorsal and ventral attention and somatoform networks,concept
dorsal anterior cingulate cortex,location
dorsal prefrontal cortical areas,location
dorsolateral prefrontal cortex,location
dorsolateral prefrontal cortex (dlpfc),concept
dose,documents
dose requirements,concept
doses per day,object
dosing,object
"double-blind, placebo-controlled study",service
"double-blind, placebo-controlled trials of short- and long-acting formulations of a-2 adrenergic agonists",documents
"dovis, s.",person
dr reddy,documents
dr. biederman,person
drd4 48 bp multiallelic variants,concept
drd4 and baiap2,documents
driver license suspensions,other
driver's license,documents
drivers with adhd,person
drivers without adhd,person
driving violations and license suspensions,documents
"driving, sex, sports, or spending",documents
drowsiness,condition
drug abuse,condition
drug abuse processes,condition
drug dependency,condition
drug holiday,concept
drug interactions,concept
drug metabolism,documents
drug use disorder,condition
drugs,service
dry mouth,condition
dsm-5,documents
dsm-5 diagnosis,concept
dsm-5 diagnosis of adhd,concept
dsm-5 field trials,concept
dsm-iv attention-deficit/hyperactivity disorder,condition
dsm-iv attention-deficit/hyperactivity disorder symptom dimensions and subtypes,documents
dsm-iv disorders,concept
dsm-iv mania symptoms,concept
"du rietz, e.",person
duke clinical research institute,organization
duke university school of medicine,other
during pregnancy,other
"durston, s.",person
dusp6,other
dutch science organization,organization
"dvorsky, m. r.",person
dynamism,concept
dysfunctional intrinsic connectivity,condition
dysmenorrhea,condition
dysphoria,condition
dysuria,condition
d´esir´e-magloire bourneville,person
"d’agostino, a.",person
"d’onofrio, b.m.",person
e. daly,person
e.a. earl,person
e.m.,person
e.s.b.,person
eapen,person
early and long-term treatment,concept
early environmental risk factors,concept
early irritability traits,condition
early life exposure to pfas and adhd,documents
early maladaptive schemas,concept
early treatment with stimulants,concept
early-life emotional stressors and trauma,condition
eating disorders,condition
"ebner-priemer, u.w.",person
ecg,documents
ecg screening,documents
economic burden,other
economic burden and disability-adjusted life years (dalys) of attention deficit/hyperactivity disorder.,concept
economic impact,concept
editora manole,organization
editorial support,documents
education,service
education attainment,concept
education deficiencies,concept
educational achievement and cognitive outcomes,concept
educational failure,concept
educational planning and accommodations,documents
educational rights,concept
educational success,concept
educational underachievement,concept
eeg neurofeedback,concept
eeg power research,concept
eeg variability,documents
effect of methylphenidate on emotional dysregulation in children with attention-deficit/hyperactivity disorder + oppositional defiant disorder/conduct disorder,concept
effect size,concept
effective and safe,condition
effective self-regulation of emotions,other
effectiveness and outcome,concept
effects,concept
"effects of group psychotherapy, individual counseling, methylphenidate, and placebo in the treatment of adult attention-deficit/hyperactivity disorder",concept
effects on sleep,concept
ei,concept
ei (emotional inability),concept
ei (emotional intelligence),documents
ei (emotional intensity),concept
ei and desr,concept
eight psychiatric disorders,condition
eisai,organization
"eldoret, kenya",location
electrocardiogram (ecg),documents
electroencephalogram,object
electroencephalogram biofeedback,service
electronic health records study,documents
electronic medical records database,documents
electrophysiology,service
electrophysiology in attention-deficit/hyperactivity disorder,concept
elements of cbt,service
elevated emotional control scores on the brief-a,documents
eli lilly,organization
elsevier,organization
"embryogenesis, cellular proliferation and differentiation",concept
emergence of adhd,concept
emergent affective arousal,object
emergent health conditions,condition
emotion,concept
emotion dysregulation,concept
"emotion dysregulation scale, short version (eds-short)",documents
emotion expression scale for children (eesc),documents
emotion generation,concept
emotion knowledge,concept
emotion lability,concept
emotion processing,concept
emotion reactivity,concept
emotion reactivity scale,documents
emotion regulation checklist,documents
emotion regulation deficits,condition
emotion regulation difficulty,concept
emotion regulation index for adults and children (erica),documents
emotion regulation processes,concept
emotion regulation questionnaire (erq),documents
emotion regulation scales,documents
emotional activation,condition
emotional and behavioral difficulties,condition
emotional and physical exhaustion,condition
emotional and social impairment,concept
emotional burdens,documents
emotional control,concept
emotional control impairment,condition
emotional control subscale,concept
emotional control subscale of the brief-a,documents
emotional coping,concept
emotional difficulties,condition
emotional distress,concept
emotional distress in adults,concept
emotional domains,condition
emotional dysregulation outcomes,concept
emotional dysregulation scores,condition
emotional dysregulation symptoms,concept
emotional excitability/impatience,concept
"emotional experience, arousal, and expression",concept
emotional expression in children,concept
emotional factors,concept
emotional frustration,concept
emotional frustration in adults,concept
emotional functioning,concept
emotional generation and regulation,other
emotional impairment,condition
emotional impulsiveness,concept
emotional intensity,concept
emotional lability in children 6 to 12 years of age with adhd,object
emotional lability in patients with attention-deﬁcit/hyperactivity disorder,object
emotional lability or impulsivity,condition
emotional lability scale,concept
emotional lability symptoms,condition
emotional liability,condition
emotional outbursts,other
emotional reactivity/negativity/liability,concept
emotional recognition and understanding,concept
emotional regulation difficulty in adults,concept
emotional regulation in children,concept
emotional state,other
emotional stimuli,documents
emotional symptoms,condition
emotional symptoms associated with adhd,concept
emotional upsets,concept
emotional volatility,other
emotionally activating stimulus,condition
emotionally evocative situations,condition
emotionally reactive behavior,condition
emotiongeneration,concept
emotionregulation,concept
emotions and their adverse impact,condition
empirically supported statements,concept
employment,other
employment in adulthood,service
employment likelihood,concept
employment rates,concept
endorsement,concept
energy,concept
enigma,organization
enigma consortium,organization
enigma working groups,organization
enigma-adhd working group set of 36 cohorts,organization
enjoyable lives,concept
enterovirus,object
environment,concept
environmental causes,concept
environmental contributions,concept
environmental correlates,concept
environmental factors,condition
environmental risk factors,condition
environmental risks,other
enzymotec,organization
epidemiological studies,documents
epidemiology,concept
epilepsy,condition
episodic rages,condition
error-related negativity (ern),concept
"eslick, g.d.",person
esrc,documents
establishment of diagnostic validity in psychiatric illness,concept
estrogen,concept
eszopiclone,service
"etkin, a.",person
eunethydis,organization
eur. addict. res.,documents
eur. child adolesc. psychiatry,documents
europe,location
european adhd guideline group (eagg),organization
european clinical guidelines for hyperkinetic disorder,documents
european college of neuro-psychopharmacology,organization
european community horizon 2020 programme,organization
european countries,location
european network adult adhd,organization
european network for hyperkinetic disorders (eunethydis),organization
european population,location
european psychiatric association,organization
european research executive agency grant 101095568-horizonhlth-2022-disease-07-03,documents
european studies,documents
european union's horizon 2020 research and innovation programme,organization
european union’s horizon 2020 research and innovation programme (grant agreement 945151),other
euthymic,condition
evaluation of a child with adhd and sleep complaints,concept
"evans, s. w.",person
evening tendencies,concept
evidence base,concept
evidence-based conclusions about the disorder,concept
evidence-based treatments,concept
evolan pharma,organization
exacerbations,concept
excessive tiredness,condition
exclusion of food colour additives and preservatives,documents
executive control,concept
executive control and corticocerebellar networks,concept
executive decision making,concept
executive dysfunction,condition
executive function,concept
executive function and emotional control,concept
executive function control,concept
executive function ratings,concept
executive functioning,concept
executive functioning in attention-deficit/hyperactivity disorder,condition
exercise,concept
expected height,condition
experimental studies,concept
expert consensus statement,object
expert in adhd treatment,person
expert scrutiny,service
experts panel,organization
explicit and implicit emotion regulation framework,documents
exposure to environmental toxins,condition
exposures to environmental toxicants,condition
exposures to environmental toxicants and attention deficit hyperactivity disorder in u.s. children,condition
extended release guanfacine,documents
extended release stimulants,other
extended-release mph,service
extended-release oral suspension and chewable tablet,documents
extended-release preparations,documents
extra help,service
extra time,concept
extreme deprivation,other
extreme emotional and nutritional deprivation,condition
extremely continuous distribution of adhd symptoms and traits,concept
"eyre, o.",person
f.x. castellanos,person
"faculdade de medicina fmusp, universidade de são paulo",other
faculty of medicine,other
faculty of medicine and university hospital cologne,organization
failed relationships,documents
failure to graduate high school on time,condition
fainting,condition
falkai,person
false confession,documents
familial confounders,concept
familial confounding,condition
familial liability to epilepsy and attention-deficit/ hyperactivity disorder,condition
families,organization
family,organization
family and community protective factors,documents
family and parenting,condition
family and partner distress,concept
family conflict,concept
family history,condition
family history of adhd,object
"family history of diagnosed or suspected mental health, learning, or substance use problems",documents
family members,person
family relationships,other
family strain index,concept
"family, friends, or college peers",entity
fapergs,organization
faraone et al.,person
"faraone, s. v.",person
"farh, k.-h.",organization
farsad-naeimi et al.,person
fast rise time for intensity of subjective states and behavior,concept
father or brother or sister with epilepsy,other
fatigue,condition
fatty acid validated meta-regression analysis,object
fda approval for marketing,documents
fda-approved,documents
females,other
feng,person
fetal safety,concept
"fettes, d.l.",person
fewer and shorter romantic relationships,condition
"fichter, m.m.",person
fidgetiness or talking,other
fidgety philipp and pippi longstocking,person
financial domain deficiencies,concept
financial problems,other
financial stability,concept
first prescription,concept
"fischer, m.",person
"flory, k.",person
fluctuate over time within individual patients,concept
fmri neurofeedback,concept
focalin,documents
focused attention,concept
follow rules,documents
foods high in added sugar,concept
"foretova, l.",person
forms and dosing,concept
forns et al.,person
"forzan, m.",person
foxp1,other
foxp1 and foxp2,concept
foxp1 transcription factors,concept
foxp2,other
foxp2 transcription factors,concept
fracture risk,concept
france,location
franke,person
"franke, b.",person
franz kramer,person
free fatty acids,condition
"freilinger, t.",person
frequent digital media use,service
frequent failures in achieving life goals,documents
frequent job changes,condition
frequent periodic leg movements during psg,other
friendships,condition
front. pediatr.,documents
frontal cortical area,other
frontal lobes,location
"frontal, cingulate, and temporal regions",location
frontiers psychiatry,documents
fruits and vegetables,concept
frustration discomfort,concept
frustration discomfort scale,documents
fully syndromic adhd,condition
functional abnormalities,concept
functional brain maturation,concept
functional connectivity,concept
functional impairment,object
functional magnetic resonance imaging,documents
functional magnetic resonance imaging (fmri),documents
functional magnetic resonance imaging studies,concept
functional outcomes,concept
funding for manuscript development,documents
"furlotte, n.",person
fusiform gyrus and temporal pole,location
future patient outcomes,concept
g.k.,person
g.m.,person
g.v.p.,person
gabaergic system,other
"gambaro, g.",person
gambling more than 5 times a year,other
game-based treatments,service
garcia-argibay m,person
garcia-delgar,person
gastrointestinal issues,condition
"ge, g.m.",person
geller,person
gender,concept
gender differences,object
gender identity issues,concept
gene (national center for biotechnology information),organization
gene function descriptions,documents
genentech,organization
general population,other
general psychopathology,condition
generalized emotional under-control,concept
generating appropriate responses,condition
generic medications,documents
genes,object
genes and environment,documents
genes implicated by meta-analyses,concept
genetic architecture,concept
genetic causes of adhd,object
genetic correlates,concept
genetic effects on adhd symptom dimensions of inattention and hyperactivity,concept
genetic factors,object
genetic hypogonadism,concept
genetic influences,concept
genetic loci,object
genetic markers,concept
genetic relatedness,concept
genetic relationship,concept
genetic risk,concept
genetic risk factors,documents
genetic risk factors for psychiatric disorders,concept
genetic risk variants,concept
genetic studies,service
genetic studies of adhd,documents
genetic transmission,object
genetic underpinnings of early-life irritability,concept
genetic variants,documents
genetic variation,concept
genetics,concept
genetics of attention deficit hyperactivity disorder,concept
"genetics, clinical features, and diagnosis of marfan syndrome and related disorders",documents
gene–environment interplay,concept
genome-wide association study (gwas),documents
genome-wide meta-analysis,concept
genome-wide significant risk loci,concept
genomic relationships,concept
genomind,organization
geographical region,location
george still,person
german psychiatric association,organization
german research foundation grant ph 177/7-1,documents
german statutory health insurance claims data,documents
germany,location
"gershon, e.s.",person
gertrud thalmann fonds,organization
"geschwind, d.h.",organization
"ghirardi, l.",person
"giegling, i.",person
giggling,condition
gilbert,person
"gill, m.",person
girls and women,person
girls with attention-deficit/hyperactivity disorder,entity
"glass, k.",person
glaucoma,condition
global systematic review and meta-analysis,object
glutamat e levels,concept
glutamate,other
glutamatergic neurotransmission,concept
glutamatergic system,other
goal directed behavior,condition
goal management training,service
"goddard, m.e.",person
"gonidakis, f.",person
gonzalo rodriguez-lafora,person
"goodlad, j.k.",person
"gordon, s.d.",organization
"gordon-smith, k.",person
"gorwood, p.",person
goulstonian lectures,documents
government,organization
"grabe, h.j.",person
grade point averages,concept
grade point sum,documents
grados,person
gray matter volume,condition
greater family cohesion,concept
greenberg,person
"greenwood, t.a.",organization
grevet et al (2020),documents
"grice, d.e.",person
"grigoroiu-serbanescu, m.",person
groningen,location
"gross, j.j.",person
"gross, m.",organization
group cognitive psychotherapy,service
"group of psychiatry, mental health and addictions, vall d’hebron research institute (vhir)",organization
group psychotherapy,service
group setting,service
group treatment,service
growth issues,concept
growth suppression,concept
growth trajectories,concept
"grozeva, d.",organization
grünblatt,person
guanfacine,documents
guanfacine (intuniv),documents
guanfacine treatment,service
guanfaicine,object
guideline recommendations,documents
guidelines,documents
guilford press,documents
"guilford press, oxford university press and elsevier",organization
guilherme v. polanczyk,person
"guo, y.",person
gw pharma,organization
gwas catalog,service
h feng,person
h.c.s.,person
h.l.,person
hagstrøm,person
"haines, j.l.",person
"hakonarson, h.",person
"hallmayer, j.",organization
"halmi, k.a.",person
"hamilton, s.p.",person
handbook of emotion regulation,concept
hanna,person
"hansen, t.f.",person
hartmann,person
hartmann müller stiftung,organization
"hartmann, a.m.",person
hassenfeld children ’s hospital at nyu langone,location
"hatzikotoulas, k.",person
"hautzinger, m.",person
have better relationships with caregivers,documents
hb pharma,organization
headache,condition
"headache, dizziness, and nervousness.",documents
health care team,organization
health committee,organization
health insurance,organization
health professional,person
health survey (sf-36),concept
health-care disparities,condition
health-related quality of life,concept
healthcare costs,documents
healthcare provider,person
healthy controls,entity
healthy diets,documents
healthy sleep habits,service
heart attack or stroke,condition
heart murmur,concept
heart rate,object
heart rate (hr),concept
heart rate (hr) and blood pressure (bp),concept
heart rate and blood pressure,object
heart symptoms,condition
"heath, a.c.",organization
"hebebrand, j.",person
hedderly,person
hegvik t a,person
height,concept
heiman,person
heinrich hoffmann,person
"heinzen, e.l.",person
"helder, s.g.",person
"henders, a.k.",organization
herbal and mineral supplements,documents
heritability,concept
heritability of attention-deficit hyperactivity disorder in adults,concept
"herms, s.",person
"herpertz-dahlmann, b.",person
"herzog, w.",person
hess j l,person
heterogeneity,concept
heterogeneous course of inattention and hyperactivity-impulsivity from childhood to young adulthood,object
heterotropia,documents
"heutink, p.",person
heyman,person
"hickie, i.b.",person
high baseline impulsivity,condition
high desr,condition
high ei,condition
high emotional impulsivity,condition
high emotional intensity,concept
high intelligence,concept
high-risk patients for adhd screening,concept
higher education entrance tests,concept
higher iq,concept
higher risk of adhd in offspring,condition
"higher risks for injuries, concussions, depression, suicidality, criminality, nicotine and substance use disorders",condition
higher-order cognitive processing stages,service
highly intelligent people,concept
"hinney, a.",person
hippo t&c,organization
hippocampus,object
hippocampus subregional volume,concept
hippocampus volume,documents
hochspezialisierte medizin,organization
"hodgkins, p.",person
hogeschool van utrecht/university of applied sciences,organization
hogrefe,organization
"hollis, c.",person
"holmans, p.a.",person
home confinement associated with covid-19 pandemic,concept
homework,documents
homework completion,concept
hong,person
hong kong database,location
"hong, m., park, b., lee, s.m., bahn, g.h., kim, m.j., park, s., oh, i.h., park, h., 2020",organization
hoogman m,person
"hoogman, m.",person
"hoogman, m., bralten, j., hibar, d.p., mennes, m., zwiers, m.p., schweren, l.s.j., van hulzen, k.j.e., medland, s.e., shumskaya, e., jahanshad, n., zeeuw, p., szekely, e., sudre, g., wolfers, t., onnink, a.m.h., dammers, j.t., mostert, j.c., vives-gilabert, y., kohls, g., oberwelland, e., seitz, j., schulte-ruther, m., ambrosino, s., doyle, a.e., hovik, m.f., dramsdahl, m., tamm, l., van erp, t.g.m., dale, a., schork, a., conzelmann, a., zierhut, k., baur, r., mccarthy, h., yoncheva, y.n., cubillo, a., chantiluke, k., mehta, m.a., paloyelis, y., hohmann, s., baumeister, s., bramati, i., mattos, p., tovar-moll, f., douglas, p., banaschewski, t., brandeis, d., kuntsi, j., asherson, p., rubia, k., kelly, c., martino, a.d., milham, m.p., castellanos, f.x., frodl, t., zentis, m., lesch, k.p., reif, a., pauli, p., jernigan, t.l., haavik, j., plessen, k.j., lundervold, a.j., hugdahl, k., seidman, l.j., biederman, j., rommelse, n., heslenfeld, d.j., hartman, c.a., hoekstra, p.j., oosterlaan, j., polier, g.v., konrad, k., vilarroya, o., ramos-quiroga, j.a., soliva, j.c., durston, s.",organization
"hope, s.",person
hops intervention,service
hormonal aspects of adhd,concept
hormonal changes,concept
hormone fluctuation,concept
hospital de clínicas de porto alegre (hcpa),location
"hottenga, j.j.",person
hou j,person
hougaard,person
household income,concept
household public assistance,service
"howard, d.",person
hr increase of ≥20 bpm,condition
hr increases ranged from 3 to 10 beats per minute (bpm),condition
"hrafnsdottir, m.",person
https://doi.org/10.1016/j.neubiorev.2021.01.022,other
huang,person
"huang, h.",organization
"hulme, c.",person
"hultman, c.m.",person
hum. brain mapp.,documents
human developmental neurobiology unit,organization
humanity,concept
humidity,condition
"humphreys, k.l.",person
huyser,person
"hyde, j.",person
"hyman, b.t.",organization
hyperactive children,person
hyperactive symptoms,object
hyperactive-impulsive,condition
hyperactive-impulsive and combined-type adhd presentation,person
hyperactive-impulsive symptoms,condition
hyperactive/inattentive symptomatology,concept
hyperactive/inattentive symptomatology and polygenic risk for attention-deficit/hyperactivity disorder,condition
hyperactivity,other
hyperactivity and impulsiveness,other
hyperactivity disorder in children,condition
"hyperactivity, impulsivity, or inattention",object
hyperactivity-impulsivity scale,concept
hyperactivity/impulsivity subtypes,concept
hyperfocus,other
hyperfocus on a task,condition
hyperkinetic disorder,concept
hyperkinetic erkrankung,documents
hyperopia,condition
hypersensitivity,condition
hypersensitivity to criticism and failure,condition
hypertension,other
hypertension levels,concept
hypertensive disorders,condition
hypertensive disorders of pregnancy,concept
hypertrophic cardiomyopathy in children,concept
hypospadias,concept
hypotension,condition
"h¨am¨al¨ainen, e.",person
i. dinstein,person
i.b.,person
i.m.,person
ibanez-gomez,person
icahn school of medicine at mount sinai,other
icasa,organization
icd-11,concept
id,condition
idea,other
idea study,documents
idefics study,service
identifying individuals at risk for scd,concept
identity exploration,concept
ieee computer society conference proceedings,documents
ifc and insula,location
illegal drugs or non-medical use of prescription drugs,concept
imaging studies,concept
"imgart, h.",person
immature brain structure,concept
immediate-release stimulant,concept
immediatenegative reinforcement,concept
immigrants,entity
impact of adult adhd,concept
impact of pharmacotherapy,concept
impaired performance on psychological tests,concept
impairing symptoms,concept
impairment,condition
impairment in 2 or more settings,concept
impairment including interference with classroom learning,condition
impairment including interference with friendships,condition
impairment including interference with home life,condition
impairment including interference with leisure activities,condition
impairment rating scale,service
importance,concept
improve lives of people who suffer from the disorder,service
impulse buying,other
impulse control,concept
impulsive aggression,condition
impulsive and poorly regulated cognition,concept
impulsive behavior,condition
impulsive decision making,concept
impulsive symptoms,object
inadequate limit-setting,concept
inadequate management of emotions,concept
inadequate self-control,concept
inadequate sleep,concept
inadequate treatment response,condition
inappropriately positive emotions,condition
inattention,other
inattention and hyperactivity/impulsivity subtypes of adhd,condition
inattention symptoms,other
inattention to details,concept
"inattention, hyperactivity, and impulsivity",condition
inattention/overactivity,concept
inattentive adhd presentation,person
incarcerated,service
incarcerated populations,object
incidence and risk of attention-deficit/hyperactivity disorder,condition
incidence rates of mental disorders in childhood and adolescence,concept
incident adult adhd,documents
inconsistent sleep schedule,concept
"increased aggression or hostilit y, especially i n children.",documents
increased bmi,condition
increased costs for patients and their families,condition
increased creativity,other
increased death risk,condition
increased energy,other
increased heart rate,object
increased heart rate (tachy cardia) and elevated blood pressur e,documents
increased resilience,other
increased risk of accidents,documents
increased self-regulation challenges,condition
increased sexual activity,documents
increased spontaneity,other
incredible years (iy),service
incredible years parent training,service
incremental societal productivity loss and health care services cost,documents
individual counseling,service
individual level,condition
individuals with childhood adhd,entity
individuals with current or prior adhd medication use,other
indivior,organization
infant,object
infection,condition
inferior frontal cortex,location
inferior frontal cortex (ifc),concept
inferior longitudinal and left uncinate fasciculi,location
inferior parietal region,other
informant,person
information about adhd,documents
information about alternative treatments,documents
information about parenting a child with adhd,documents
information about the individual’s self-awareness and motivation for treatment,concept
"information for health professionals, patients and families",service
inhibition,concept
inhibitory control,concept
inhibitory control training (ict),service
initiating adhd medication,service
injuries,condition
injuries in children with attention deficit hyperactivity disorder,condition
innovative perspectives,concept
inomnia or other sleep disorders,condition
inpatient care,service
insomnia,condition
insomnia or trouble fa lling and staying asleep.,documents
instability of life,object
institute of education sciences,organization
institute of mental health,organization
"institute of mental health, university of nottingham",organization
"institute of psychiatry, psychology & neuroscience",organization
institutional deprivation,condition
institutional develop - ment award (idea),organization
instrumental assessment of sleep,object
insula,object
insurance status,condition
int. j. eat. disord.,documents
int. j. epidemiol.,service
integrative group therapy,service
integrative treatment,concept
intellectual disability,condition
intellectual factors,concept
intellectual functioning,condition
intellectual functioning in adults with adhd,concept
intellectual functioning in adults with adhd: a meta-analytic examination of full scale iq differences between adults with and without adhd,concept
intelligence,condition
intelligence/achievement,concept
intensification of comorbid conditions,condition
"intentional exposures (suicide, abuse, misuse)",concept
interdisciplinary center psychopathology and emotion regulation (icpe),organization
interleukin-6,documents
intermittent explosive disorder,condition
internalized disorders,condition
internalizing problems,condition
internalizing symptoms,concept
international classification of diseases 11th revision,documents
international collaboration on adhd and substance abuse (icasa),organization
international consensus statement,documents
"international consensus statement on screening, diagnosis and treatment of substance use disorder patients with comorbid attention deficit/hyperactivity disorder",concept
international resources,organization
interventions,concept
intimate partner violence,condition
intracranial volumes,documents
intrauterine exposure,condition
intuiniv,documents
investigation and research,service
investigation and/or development of treatments,service
iq,concept
iq deficits,concept
iq differences,documents
ireland,location
iron deficiency,condition
iron status,condition
ironshore,organization
irregular heartbeats,condition
irregular sleep-wake rhythm disorder,concept
irritability,other
irritability in adhd,condition
irritability in children and adolescents,concept
irritability in odd,condition
irritability or aggression,condition
"irritability, anxiet y, and mood swings.",documents
"irritability, anxiety, panic, difficulty sleeping, hostility, suicidal thinking or behavior",object
is not necessary,documents
is there an all-embracing construct of emotion reactivity?,concept
isabell brikell,person
"ising, m.",person
ispor pro good research practices task force report,documents
israel,location
israel ministry of health,organization
israeli society of adhd,organization
italy,location
j atten disord vol. 23 (11),documents
j.,person
j. atten. disord.,documents
"j. atten. disord. 24, 823–829",documents
j. atten. disord. journal,documents
j. child adolesc. psychopharmacol.,documents
j. child psychol. psychiatry,documents
j. clin. psychiatry,documents
j. fedor,person
j. fitzgerald,person
j. interpers. violence.,documents
j. psychiatry neurosci.,documents
"j., quinn",person
j.b.,person
j.b.s.,person
j.d. feusner,person
j.h.,person
j.h.n.,person
j.k.,person
j.k.b.,person
j.l.,person
j.m.s.,person
j.n. epstein,person
j.t.n.,person
"jablonska, b.",person
jama psychiatry,documents
jan buitelaar,person
"jangmo, a.",person
jansen,organization
janssen,organization
janssen-cilag,organization
jaundice,object
jawaharlal institute of postgraduate medical education and research,organization
jazz pharma,organization
jeffrey h. newcorn,person
jessica kingsley,person
"jim´enez-murcia, s.",person
"jinan, china",location
"joachim, o.k.",person
job,object
job failure,concept
job performance,concept
johns hopkins university school of public health,organization
"johnson, c.",person
"jordan, j.",person
jornay,documents
journal homepage: www.elsevier.com/locate/neubiorev,other
journal of american academy of child and adolescent psychiatry,documents
journal of attention disorders,documents
journal of autism and developmental disorders,documents
journal of child and adolescent psychopharmacology,documents
journal of child psychology and psychiatry,documents
journal of clinical psychiatry,documents
journal of clinical psychopharmacology,documents
journal of experimental child psychology,documents
journal of health psychology,documents
journal of psychopathology and behavioral assessment,documents
"juli`a, a.",person
juvenile detention,location
juvenile detention and correctional facilities,location
k. lindstrom,person
k.c. chantiluke,person
k.d. fitzgerald,person
k.i.k. cho,person
k.r.,person
kabaj,other
kahn,person
"kaminsk ´a, d.",person
kandaswamy,person
kanton zurich,location
kapvay,documents
karakter child and adolescent psychiatry university center,organization
karger,organization
"karhunen, l.",person
"karwautz, a.",person
"kas, m.j.h.",person
"kaunisto, m.",person
"kaye, w.",person
"kelsoe, j.r.",person
"kennedy, m.a.",person
kenpharm,organization
kenya,location
"ketamine dependency, bladder damage",documents
kidney failure,condition
kidscreen-10,concept
"kim, y.r.",person
king ’s college london,organization
"kirova, a.m., kelberman, c., storch, b., disalvo, m., woodworth, k.y., faraone, s.v., biederman, j.",person
"klareskog, l.",person
"klei, l.",person
klinefelter syndrome,condition
"klump, k.l.",person
"knouse, l.e., teller, j., brooks, m.a.",person
"knudsen, g.p.",person
"kochi city hall, kochi, japan",location
"kogevinas, m.",person
"kohler-forsberg, o., petersen, l., gasse, c., mortensen, p.b., dalsgaard, s., yolken, r.h., mors, o., benros, m.e.",person
kohlhammer,organization
"konrad, k.",person
"kooij, j.j.s., bijlenga, d., salerno, l., jaeschke, r., bitter, i., balazs, j., thome, j., dom, g., kasper, s., nunes filipe, c., stes, s., mohr, p., leppamaki, s., casas, m., bobes, j., mccarthy, j.m., richarte, v., kjems philipsen, a., pehlivanidis, a., niemela, a., styr, b., semerci, b., bolea-alamanac, b., edvinsson, d., baeyens, d., wynchank, d., sobanski, e., philipsen, a., mcnicholas, f., caci, h., mihailescu, i., manor, i., dobrescu, i., saito, t., krause, j., fayyad, j., ramos-quiroga, j.a., foeken, k., rad, f., adamou, m., ohlmeier, m., fitzgerald, m., gill, m., lensing, m.",person
ku leuven,organization
"kuja-halkola, r.",person
"kuntsi, j.",person
"kurki, m.i.",person
"kurth, t.",person
l.a.,person
l.y.,person
labor force marginalization,condition
lack of control,concept
"ladd-acosta, c.",person
lancet psychiatry,documents
"langley, k.",person
language problems,concept
large effect,other
large family size,documents
large-scale functional networks in adhd,concept
large-scale meta-analysis of epidemiological studies,object
"larsen, j.t.",person
"larsson, h.",person
late-onset adhd,condition
later substance use problems,concept
latin american league of adhd,organization
latin minority youth,entity
"lavebratt, c.",person
ldx,service
"le, h.h.",person
lead exposure,condition
learning disabilities,condition
learning disorders,concept
learning problems,condition
lebowitz (2016),date
"lebwohl, b.",person
lee,person
"lee, s.s.",person
"leffa, d. t.",person
lehner,other
"lehtim¨aki, t.",person
length of time that the stimulant works,concept
"less-structured settings (e.g., attending college)",location
level of functioning,documents
lewis,other
"li, l.",person
"li, q.s.",person
"li, x.",person
licensed clinician,person
licensed health care professional,organization
licensed mental health practitioner,person
"lichtenstein, p.",person
life coaching,service
life skills,concept
lifestyle modification,other
lifestyle recommendations,concept
"ligthart, l.",organization
